Model,Feature Set,Seed,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
Gradient Boosting,T,21,0.6051538758930612,0.5239813561870396,0.8281844106463878,0.6418638917027351,0.5717967760883951,0.6760575217193153,0.7011372245868989,3485,1958,3166,723
Gradient Boosting,T,37,0.605251455908674,0.5240601503759399,0.8281844106463878,0.6419230060784675,0.5719223024243222,0.6761505390911288,0.7012222824522192,3485,1959,3165,723
Gradient Boosting,T,55,0.6053490359242868,0.5241389682659047,0.8281844106463878,0.6419821313438334,0.572047809619656,0.6762233763042674,0.7013029807541044,3485,1960,3164,723
Gradient Boosting,T,77,0.605251455908674,0.5240601503759399,0.8281844106463878,0.6419230060784675,0.5719223024243222,0.6760688888475791,0.7011803564379064,3485,1959,3165,723
Gradient Boosting,T,99,0.605251455908674,0.5240601503759399,0.8281844106463878,0.6419230060784675,0.5719223024243222,0.6760683289936038,0.7011507670605486,3485,1959,3165,723
Gradient Boosting,T,123,0.6051538758930612,0.5239813561870396,0.8281844106463878,0.6418638917027351,0.5717967760883951,0.6761515484230839,0.7011950583699166,3485,1958,3166,723
Logistic Regression,T+O+W,42,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,1,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,7,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,13,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,21,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,37,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,55,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,77,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,99,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Logistic Regression,T+O+W,123,0.7011049916444793,0.6244631185807656,0.7946768060836502,0.6993621248562166,0.6917313865683127,0.7550658012872422,0.7832909249843428,3344,3113,2011,864
Random Forest,T+O+W,42,0.6789009930157939,0.5802565707133918,0.8814163498098859,0.699811320754717,0.6526090333932315,0.7892576220695384,0.8085522993636151,3709,2441,2683,499
Random Forest,T+O+W,1,0.700802141120738,0.608275394268272,0.8524239543726235,0.7099455714992577,0.6837495120026957,0.7872658963320751,0.8078678247151256,3587,2814,2310,621
Random Forest,T+O+W,7,0.6976165060863215,0.6037830599263475,0.8571768060836502,0.7085052052641917,0.6792938664849608,0.7890455951344936,0.8089815076594746,3607,2757,2367,601
Random Forest,T+O+W,13,0.7064339550256304,0.6196709711657526,0.8324619771863118,0.7104756109927999,0.6930771784374428,0.7872981694055521,0.8076004304280461,3503,2974,2150,705
Random Forest,T+O+W,21,0.7130933273078601,0.6311070448307411,0.8196292775665399,0.7131189910058927,0.7022385078486253,0.7884556324733929,0.8094210119455749,3449,3108,2016,759
Random Forest,T+O+W,37,0.7098738360893195,0.6256983240223464,0.8250950570342205,0.7116941682894332,0.6979375747700675,0.7886760639036855,0.8089117314553448,3472,3047,2077,736
Random Forest,T+O+W,55,0.6969759285313577,0.6030075187969924,0.8576520912547528,0.708133032473266,0.6784674134152424,0.788548147732471,0.8079351660566988,3609,2748,2376,599
Random Forest,T+O+W,77,0.7108921187997732,0.6267364243189608,0.8255703422053232,0.7125423033535022,0.6990289212268465,0.7896602066857754,0.8089504573645827,3474,3055,2069,734
Random Forest,T+O+W,99,0.7106637518811052,0.6246653578440121,0.8317490494296578,0.7134848639282438,0.6979826895039389,0.7877613825329463,0.8085650997839141,3500,3021,2103,708
Random Forest,T+O+W,123,0.700670704921001,0.6079593564775614,0.8531368821292775,0.7099772569959458,0.6834882191891202,0.7900438061795133,0.809616890840984,3590,2809,2315,618
Gradient Boosting,T+O+W,42,0.730095531948365,0.65859375,0.8013307984790875,0.7229845626072041,0.7231032495983749,0.7856547818858539,0.8142498777467105,3372,3376,1748,836
Gradient Boosting,T+O+W,1,0.7299979519327522,0.658465143526655,0.8013307984790875,0.7229070639939972,0.7229961136788411,0.7855713012057601,0.8141926005037057,3372,3375,1749,836
Gradient Boosting,T+O+W,7,0.7299979519327522,0.658465143526655,0.8013307984790875,0.7229070639939972,0.7229961136788411,0.7855164817189868,0.8141519730827567,3372,3375,1749,836
Gradient Boosting,T+O+W,13,0.7300742906712021,0.6586557248925361,0.8010931558935361,0.7229251554793051,0.7231031860069475,0.7856057363598596,0.8142338308430023,3371,3377,1747,837
Gradient Boosting,T+O+W,21,0.7301931119639777,0.6587224067200625,0.8013307984790875,0.7230620778385333,0.7232103791784505,0.7856627448337166,0.8142843832275165,3372,3377,1747,836
Gradient Boosting,T+O+W,37,0.7299979519327522,0.658465143526655,0.8013307984790875,0.7229070639939972,0.7229961136788411,0.7855562292599267,0.81417437381828,3372,3375,1749,836
Gradient Boosting,T+O+W,55,0.7300742906712021,0.6586557248925361,0.8010931558935361,0.7229251554793051,0.7231031860069475,0.7855533212951522,0.8142091111907581,3371,3377,1747,837
Gradient Boosting,T+O+W,77,0.7300530493940391,0.6587177482408131,0.8008555133079848,0.7228657228657228,0.7231030969789,0.7856120133264768,0.8142559996868535,3370,3378,1746,838
Gradient Boosting,T+O+W,99,0.7298578893628136,0.6584603360687769,0.8008555133079848,0.7227107012652798,0.7228888695874482,0.785581632853023,0.8142444978599181,3370,3376,1748,838
Gradient Boosting,T+O+W,123,0.7298578893628136,0.6584603360687769,0.8008555133079848,0.7227107012652798,0.7228888695874482,0.785519429719858,0.8141889829936213,3370,3376,1748,838
Logistic Regression,T+O+W+S,42,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,1,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,7,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,13,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,21,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,37,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,55,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,77,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,99,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Logistic Regression,T+O+W+S,123,0.7058758381492596,0.6359393232205367,0.7770912547528517,0.6994652406417112,0.6988844347936922,0.7538745958729931,0.783136485130735,3270,3252,1872,938
Random Forest,T+O+W+S,42,0.7325934690400502,0.6650727236501295,0.7932509505703422,0.7235287742494853,0.7266049084768673,0.7971527474460316,0.8162093855649846,3338,3443,1681,870
Random Forest,T+O+W+S,1,0.7203308519069287,0.6408056695262961,0.8165399239543726,0.7180773249738767,0.7106990979388847,0.7980281426081733,0.8167583427203081,3436,3198,1926,772
Random Forest,T+O+W+S,7,0.7292425416217725,0.6581882214830758,0.7994296577946768,0.7219658761669707,0.7223526545093816,0.7960752202871199,0.8160782508244213,3364,3377,1747,844
Random Forest,T+O+W+S,13,0.7220487981703932,0.643796992481203,0.813925855513308,0.7189336691855583,0.7129037873073151,0.7979102838579524,0.8169726106253135,3425,3229,1895,783
Random Forest,T+O+W+S,21,0.7347860511779355,0.6709939148073022,0.7861216730038023,0.7240096301159992,0.7296302612053858,0.7973738306505882,0.816967995981039,3308,3502,1622,900
Random Forest,T+O+W+S,37,0.7319097596340787,0.6663316582914572,0.7877851711026616,0.7219862789937929,0.7263554430513738,0.7952259096947554,0.8156476975568635,3315,3464,1660,893
Random Forest,T+O+W+S,55,0.7304805648806927,0.6624950337703616,0.7925380228136882,0.7217052586020342,0.7243635611626176,0.7965792961642113,0.8156278244405659,3335,3425,1699,873
Random Forest,T+O+W+S,77,0.7294848220407655,0.6570762052877138,0.8032319391634981,0.7228400342172797,0.7222447593766811,0.7962797773248472,0.8163103975773442,3380,3360,1764,828
Random Forest,T+O+W+S,99,0.7359443964583278,0.6722143292064137,0.7870722433460076,0.7251231527093596,0.7308058832074451,0.7951700297174281,0.8161734191666443,3312,3509,1615,896
Random Forest,T+O+W+S,123,0.7377666012175611,0.6826233656684944,0.7692490494296578,0.7233519553072626,0.7342310528029004,0.7961519110149473,0.8167556063985777,3237,3619,1505,971
Gradient Boosting,T+O+W+S,42,0.7450433618875463,0.70897903372835,0.7393060836501901,0.7238250348999534,0.7440142258329723,0.8007767776417972,0.8218183117618424,3111,3847,1277,1097
Gradient Boosting,T+O+W+S,1,0.7451621831803219,0.709045340624288,0.7395437262357415,0.7239734791206235,0.7441264038098399,0.8007195973487508,0.8217724899674387,3112,3847,1277,1096
Gradient Boosting,T+O+W+S,7,0.7440310156038978,0.7000220896841175,0.7530893536121673,0.7255867200915855,0.7420863402049226,0.8008127893425733,0.8218614899911845,3169,3766,1358,1039
Gradient Boosting,T+O+W+S,13,0.7452385219187718,0.7093023255813954,0.7393060836501901,0.7239934838259251,0.7442211709099834,0.8008332087532457,0.8218872763451202,3111,3849,1275,1097
Gradient Boosting,T+O+W+S,21,0.7453361019343847,0.7094640820980616,0.7393060836501901,0.7240777376934714,0.7443246398724531,0.8008140627923043,0.8218575942110934,3111,3850,1274,1097
Gradient Boosting,T+O+W+S,37,0.745140941903159,0.7091406428082973,0.7393060836501901,0.7239092495636998,0.7441176995658404,0.8008224661253537,0.8218802268382888,3111,3848,1276,1097
Gradient Boosting,T+O+W+S,55,0.7452597631959348,0.7092069279854147,0.7395437262357415,0.7240577012563983,0.744229883603964,0.8007281829490039,0.8218014300481147,3112,3848,1276,1096
Gradient Boosting,T+O+W+S,77,0.745140941903159,0.7091406428082973,0.7393060836501901,0.7239092495636998,0.7441176995658404,0.8007953386664729,0.8218405733623624,3111,3848,1276,1097
Gradient Boosting,T+O+W+S,99,0.745140941903159,0.7091406428082973,0.7393060836501901,0.7239092495636998,0.7441176995658404,0.8007967821335148,0.8218432169274241,3111,3848,1276,1097
Gradient Boosting,T+O+W+S,123,0.7441498368966735,0.7000883392226148,0.7533269961977186,0.7257326007326007,0.7421974848949063,0.8007468843778566,0.8218095926349722,3170,3766,1358,1038
