ID,DistrictsAndNeighborhoods,MunicipalityName,RegionType,RegionCode,BoundaryChange,Population,TotalPropertyDamageAndViolence_Index,TotalPropertyCrimes,TotalTheft,BicycleTheft,TheftOtherVehicles,TheftFromVehicles,PickpocketingAndRobbery,TotalTheftHomeShedEtc,TheftNonResidentialBuildings,OtherTheftBurglary,OtherPropertyCrimes,TotalVandalismPublicOrder,TotalVandalism,CarVandalism,OtherVandalism,OtherPublicOrderVandalism,TotalViolentAndSexualCrimes,Assault,ThreatsAndStalking,OtherViolentAndSexualCrimes,TotalPropertyDamageAndViolence_Rate,TotalPropertyCrimes_Rate,TotalTheftHomeShed_Rate,VandalismPublicOrder_Rate,ViolentAndSexualCrimes_Rate
5336,GM0907    ,Gennep                        ,Gemeente,GM0907    ,       .,17052,327.0,237.0,176.0,35.0,10.0,27.0,2.0,42.0,18.0,42.0,61.0,51.0,44.0,22.0,22.0,7.0,39.0,23.0,10.0,6.0,19.0,14.0,2.0,3.0,2.0
5337,WK090700  ,Gennep                        ,Wijk    ,WK090700  ,       1,2730,36.0,28.0,19.0,2.0,3.0,2.0,0.0,7.0,0.0,5.0,9.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,13.0,10.0,3.0,1.0,1.0
5338,BU09070000,Gennep                        ,Buurt   ,BU09070000,       1,2065,22.0,18.0,10.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,9.0,2.0,1.0,0.0
5339,BU09070001,Gennep                        ,Buurt   ,BU09070001,       1,365,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
5340,BU09070009,Gennep                        ,Buurt   ,BU09070009,       1,300,13.0,9.0,8.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,43.0,30.0,10.0,7.0,7.0
5341,WK090701  ,Gennep                        ,Wijk    ,WK090701  ,       1,2095,26.0,20.0,14.0,2.0,0.0,1.0,0.0,7.0,0.0,4.0,6.0,4.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,12.0,10.0,3.0,1.0,1.0
5342,BU09070100,Gennep                        ,Buurt   ,BU09070100,       1,1565,16.0,13.0,9.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,8.0,3.0,1.0,1.0
5343,BU09070108,Gennep                        ,Buurt   ,BU09070108,       1,320,6.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,6.0,3.0,0.0
5344,BU09070109,Gennep                        ,Buurt   ,BU09070109,       1,210,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,19.0,10.0,0.0,5.0,5.0
5345,WK090702  ,Gennep                        ,Wijk    ,WK090702  ,       1,795,12.0,8.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,15.0,10.0,0.0,1.0,4.0
5346,BU09070200,Gennep                        ,Buurt   ,BU09070200,       1,600,10.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,17.0,12.0,0.0,0.0,5.0
5347,BU09070209,Gennep                        ,Buurt   ,BU09070209,       1,190,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,5.0,0.0
5348,WK090703  ,Gennep                        ,Wijk    ,WK090703  ,       1,9350,172.0,125.0,88.0,29.0,3.0,13.0,1.0,15.0,9.0,18.0,37.0,25.0,24.0,12.0,12.0,1.0,22.0,11.0,7.0,4.0,18.0,13.0,2.0,3.0,2.0
5349,BU09070300,Gennep                        ,Buurt   ,BU09070300,       1,590,18.0,14.0,13.0,4.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,31.0,24.0,5.0,0.0,7.0
5350,BU09070301,Gennep                        ,Buurt   ,BU09070301,       1,695,10.0,9.0,9.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,1.0,1.0,0.0
5351,BU09070302,Gennep                        ,Buurt   ,BU09070302,       1,4135,69.0,49.0,35.0,8.0,1.0,3.0,1.0,6.0,6.0,10.0,14.0,12.0,12.0,7.0,5.0,0.0,8.0,3.0,4.0,1.0,17.0,12.0,1.0,3.0,2.0
5352,BU09070303,Gennep                        ,Buurt   ,BU09070303,       1,3870,74.0,52.0,30.0,10.0,2.0,8.0,0.0,5.0,0.0,5.0,22.0,12.0,11.0,5.0,6.0,1.0,10.0,5.0,2.0,3.0,19.0,13.0,1.0,3.0,3.0
5353,BU09070309,Gennep                        ,Buurt   ,BU09070309,       1,50,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
5354,WK090704  ,Gennep                        ,Wijk    ,WK090704  ,       1,2070,81.0,56.0,51.0,2.0,4.0,9.0,1.0,13.0,9.0,13.0,5.0,16.0,12.0,8.0,4.0,4.0,9.0,5.0,2.0,2.0,39.0,27.0,6.0,6.0,4.0
5355,BU09070400,Gennep                        ,Buurt   ,BU09070400,       1,1620,23.0,17.0,14.0,1.0,0.0,1.0,0.0,7.0,3.0,2.0,3.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,14.0,10.0,4.0,1.0,1.0
5356,BU09070408,Gennep                        ,Buurt   ,BU09070408,       1,125,42.0,30.0,29.0,1.0,1.0,8.0,1.0,5.0,4.0,9.0,1.0,8.0,8.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,336.0,240.0,40.0,64.0,32.0
5357,BU09070409,Gennep                        ,Buurt   ,BU09070409,       1,320,16.0,9.0,8.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,2.0,50.0,28.0,3.0,6.0,9.0
5358,GM0689    ,Giessenlanden                 ,Gemeente,GM0689    ,       .,14551,217.0,167.0,121.0,8.0,6.0,20.0,2.0,18.0,9.0,58.0,46.0,26.0,22.0,9.0,13.0,4.0,24.0,9.0,10.0,5.0,15.0,11.0,1.0,2.0,2.0
5359,WK068900  ,Giessenlanden                 ,Wijk    ,WK068900  ,       1,3220,35.0,27.0,18.0,2.0,1.0,3.0,1.0,5.0,0.0,6.0,9.0,4.0,3.0,2.0,1.0,1.0,4.0,0.0,3.0,1.0,11.0,8.0,2.0,1.0,1.0
5360,BU06890000,Giessenlanden                 ,Buurt   ,BU06890000,       1,2795,31.0,24.0,17.0,2.0,1.0,3.0,1.0,5.0,0.0,5.0,7.0,4.0,3.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,11.0,9.0,2.0,1.0,1.0
5361,BU06890001,Giessenlanden                 ,Buurt   ,BU06890001,       1,270,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
5362,BU06890002,Giessenlanden                 ,Buurt   ,BU06890002,       1,145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0
5363,WK068901  ,Giessenlanden                 ,Wijk    ,WK068901  ,       1,1115,9.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0
5364,BU06890100,Giessenlanden                 ,Buurt   ,BU06890100,       1,800,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0
5365,BU06890101,Giessenlanden                 ,Buurt   ,BU06890101,       1,310,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,3.0,0.0
5366,WK068902  ,Giessenlanden                 ,Wijk    ,WK068902  ,       1,270,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
5367,BU06890200,Giessenlanden                 ,Buurt   ,BU06890200,       1,135,,,,,,,,,,,,,,,,,,,,,,,,,
5368,BU06890201,Giessenlanden                 ,Buurt   ,BU06890201,       1,130,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
5369,WK068903  ,Giessenlanden                 ,Wijk    ,WK068903  ,       1,235,11.0,8.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,47.0,34.0,0.0,4.0,9.0
5370,BU06890308,Giessenlanden                 ,Buurt   ,BU06890308,       1,120,9.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,75.0,50.0,0.0,8.0,17.0
5371,BU06890309,Giessenlanden                 ,Buurt   ,BU06890309,       1,115,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0
5372,WK068904  ,Giessenlanden                 ,Wijk    ,WK068904  ,       1,3375,49.0,34.0,26.0,3.0,2.0,4.0,1.0,6.0,3.0,7.0,8.0,8.0,8.0,5.0,3.0,0.0,7.0,4.0,1.0,2.0,15.0,10.0,2.0,2.0,2.0
5373,BU06890400,Giessenlanden                 ,Buurt   ,BU06890400,       1,2990,39.0,26.0,19.0,3.0,1.0,2.0,1.0,5.0,2.0,5.0,7.0,7.0,7.0,4.0,3.0,0.0,6.0,3.0,1.0,2.0,13.0,9.0,2.0,2.0,2.0
5374,BU06890401,Giessenlanden                 ,Buurt   ,BU06890401,       1,185,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,5.0,0.0,0.0
5375,BU06890402,Giessenlanden                 ,Buurt   ,BU06890402,       1,195,7.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,26.0,0.0,5.0,5.0
5376,WK068905  ,Giessenlanden                 ,Wijk    ,WK068905  ,       1,1415,53.0,47.0,38.0,1.0,0.0,3.0,0.0,1.0,2.0,31.0,9.0,3.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,0.0,37.0,33.0,1.0,2.0,2.0
5377,BU06890500,Giessenlanden                 ,Buurt   ,BU06890500,       1,1055,12.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,9.0,0.0,2.0,1.0
5378,BU06890501,Giessenlanden                 ,Buurt   ,BU06890501,       1,215,7.0,6.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,5.0,5.0,0.0
5379,BU06890502,Giessenlanden                 ,Buurt   ,BU06890502,       1,120,34.0,32.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,283.0,267.0,0.0,0.0,17.0
5380,BU06890509,Giessenlanden                 ,Buurt   ,BU06890509,       1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5381,WK068906  ,Giessenlanden                 ,Wijk    ,WK068906  ,       1,1870,28.0,18.0,12.0,1.0,0.0,4.0,0.0,2.0,0.0,5.0,6.0,5.0,3.0,0.0,3.0,2.0,5.0,2.0,2.0,1.0,15.0,10.0,1.0,2.0,3.0
5382,BU06890600,Giessenlanden                 ,Buurt   ,BU06890600,       1,475,7.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,15.0,8.0,2.0,2.0,4.0
5383,BU06890601,Giessenlanden                 ,Buurt   ,BU06890601,       1,110,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0
5384,BU06890602,Giessenlanden                 ,Buurt   ,BU06890602,       1,220,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,27.0,14.0,0.0,9.0,0.0
5385,BU06890603,Giessenlanden                 ,Buurt   ,BU06890603,       1,1060,14.0,10.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,13.0,9.0,0.0,0.0,3.0
5386,WK068907  ,Giessenlanden                 ,Wijk    ,WK068907  ,       1,1770,20.0,14.0,10.0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,11.0,8.0,1.0,2.0,2.0
5387,BU06890700,Giessenlanden                 ,Buurt   ,BU06890700,       1,1520,17.0,12.0,9.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,11.0,8.0,1.0,2.0,1.0
5388,BU06890701,Giessenlanden                 ,Buurt   ,BU06890701,       1,150,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,7.0,0.0,0.0
5389,BU06890702,Giessenlanden                 ,Buurt   ,BU06890702,       1,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,10.0
5390,WK068908  ,Giessenlanden                 ,Wijk    ,WK068908  ,       1,1265,11.0,11.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0
5391,BU06890800,Giessenlanden                 ,Buurt   ,BU06890800,       1,1265,11.0,11.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0
5392,GM0784    ,Gilze en Rijen                ,Gemeente,GM0784    ,       .,26313,772.0,595.0,469.0,48.0,24.0,72.0,5.0,71.0,46.0,203.0,126.0,95.0,81.0,35.0,46.0,14.0,82.0,35.0,35.0,12.0,29.0,23.0,3.0,3.0,3.0
5393,WK078400  ,Gilze en Rijen                ,Wijk    ,WK078400  ,       1,16750,412.0,299.0,216.0,35.0,16.0,52.0,5.0,38.0,26.0,44.0,83.0,65.0,56.0,20.0,36.0,9.0,48.0,19.0,23.0,6.0,25.0,18.0,2.0,3.0,3.0
5394,BU07840000,Gilze en Rijen                ,Buurt   ,BU07840000,       1,16145,365.0,267.0,190.0,34.0,14.0,50.0,4.0,35.0,21.0,32.0,77.0,55.0,51.0,20.0,31.0,4.0,43.0,17.0,20.0,6.0,23.0,17.0,2.0,3.0,3.0
5395,BU07840007,Gilze en Rijen                ,Buurt   ,BU07840007,       1,395,22.0,20.0,14.0,0.0,1.0,1.0,1.0,0.0,5.0,6.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,56.0,51.0,0.0,3.0,0.0
5396,BU07840009,Gilze en Rijen                ,Buurt   ,BU07840009,       1,205,25.0,12.0,12.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,8.0,4.0,0.0,4.0,4.0,5.0,2.0,3.0,0.0,122.0,59.0,15.0,20.0,24.0
5397,WK078401  ,Gilze en Rijen                ,Wijk    ,WK078401  ,       1,7955,300.0,251.0,214.0,12.0,5.0,15.0,0.0,23.0,14.0,145.0,37.0,24.0,22.0,13.0,9.0,2.0,25.0,11.0,11.0,3.0,38.0,32.0,3.0,3.0,3.0
5398,BU07840100,Gilze en Rijen                ,Buurt   ,BU07840100,       1,6485,119.0,83.0,60.0,11.0,4.0,13.0,0.0,15.0,8.0,9.0,23.0,17.0,16.0,8.0,8.0,1.0,19.0,9.0,8.0,2.0,18.0,13.0,2.0,2.0,3.0
5399,BU07840107,Gilze en Rijen                ,Buurt   ,BU07840107,       1,105,12.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,114.0,67.0,0.0,29.0,19.0
5400,BU07840109,Gilze en Rijen                ,Buurt   ,BU07840109,       1,1360,169.0,161.0,148.0,1.0,1.0,2.0,0.0,8.0,2.0,134.0,13.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,124.0,118.0,6.0,2.0,3.0
5401,WK078402  ,Gilze en Rijen                ,Wijk    ,WK078402  ,       1,1250,41.0,29.0,26.0,1.0,3.0,2.0,0.0,9.0,2.0,9.0,3.0,4.0,2.0,2.0,0.0,2.0,8.0,5.0,0.0,3.0,33.0,23.0,7.0,2.0,6.0
5402,BU07840200,Gilze en Rijen                ,Buurt   ,BU07840200,       1,715,11.0,9.0,8.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,15.0,13.0,6.0,0.0,3.0
5403,BU07840209,Gilze en Rijen                ,Buurt   ,BU07840209,       1,535,30.0,20.0,18.0,0.0,1.0,2.0,0.0,5.0,2.0,8.0,2.0,4.0,2.0,2.0,0.0,2.0,6.0,4.0,0.0,2.0,56.0,37.0,9.0,4.0,11.0
5404,WK078403  ,Gilze en Rijen                ,Wijk    ,WK078403  ,       1,350,19.0,16.0,13.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,54.0,46.0,3.0,3.0,3.0
5405,BU07840300,Gilze en Rijen                ,Buurt   ,BU07840300,       1,170,13.0,11.0,8.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,76.0,65.0,6.0,6.0,6.0
5406,BU07840309,Gilze en Rijen                ,Buurt   ,BU07840309,       1,180,6.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,28.0,0.0,0.0,0.0
5407,GM1924    ,Goeree-Overflakkee            ,Gemeente,GM1924    ,       .,49129,922.0,627.0,484.0,39.0,31.0,112.0,7.0,98.0,70.0,127.0,143.0,188.0,147.0,75.0,72.0,41.0,107.0,57.0,38.0,12.0,19.0,13.0,2.0,3.0,2.0
5408,WK192400  ,Goeree-Overflakkee            ,Wijk    ,WK192400  ,       1,2280,22.0,18.0,16.0,0.0,4.0,2.0,0.0,9.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,10.0,8.0,4.0,0.0,1.0
5409,BU19240001,Goeree-Overflakkee            ,Buurt   ,BU19240001,       1,1750,9.0,6.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,3.0,1.0,1.0
5410,BU19240002,Goeree-Overflakkee            ,Buurt   ,BU19240002,       1,295,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0
5411,BU19240003,Goeree-Overflakkee            ,Buurt   ,BU19240003,       1,235,11.0,10.0,9.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47.0,43.0,13.0,0.0,4.0
5412,WK192401  ,Goeree-Overflakkee            ,Wijk    ,WK192401  ,       1,5900,161.0,114.0,96.0,6.0,3.0,31.0,5.0,14.0,9.0,28.0,18.0,32.0,30.0,11.0,19.0,2.0,15.0,10.0,4.0,1.0,27.0,19.0,2.0,5.0,3.0
5413,BU19240101,Goeree-Overflakkee            ,Buurt   ,BU19240101,       1,1295,39.0,16.0,13.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,3.0,16.0,15.0,6.0,9.0,1.0,7.0,6.0,1.0,0.0,30.0,12.0,0.0,12.0,5.0
5414,BU19240102,Goeree-Overflakkee            ,Buurt   ,BU19240102,       1,1235,11.0,6.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,9.0,5.0,1.0,1.0,3.0
5415,BU19240103,Goeree-Overflakkee            ,Buurt   ,BU19240103,       1,1450,10.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,6.0,0.0,1.0,1.0
5416,BU19240104,Goeree-Overflakkee            ,Buurt   ,BU19240104,       1,75,19.0,12.0,11.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,7.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,253.0,160.0,13.0,93.0,0.0
5417,BU19240105,Goeree-Overflakkee            ,Buurt   ,BU19240105,       1,240,14.0,10.0,10.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,58.0,42.0,13.0,13.0,0.0
5418,BU19240106,Goeree-Overflakkee            ,Buurt   ,BU19240106,       1,10,36.0,33.0,33.0,2.0,0.0,13.0,1.0,5.0,0.0,12.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,
5419,BU19240107,Goeree-Overflakkee            ,Buurt   ,BU19240107,       1,25,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5420,BU19240108,Goeree-Overflakkee            ,Buurt   ,BU19240108,       1,60,,,,,,,,,,,,,,,,,,,,,,,,,
5421,BU19240109,Goeree-Overflakkee            ,Buurt   ,BU19240109,       1,1525,31.0,28.0,21.0,1.0,1.0,9.0,0.0,4.0,5.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,20.0,18.0,3.0,1.0,1.0
5422,WK192402  ,Goeree-Overflakkee            ,Wijk    ,WK192402  ,       1,3495,60.0,47.0,36.0,3.0,2.0,4.0,0.0,13.0,4.0,10.0,11.0,8.0,5.0,3.0,2.0,3.0,5.0,1.0,3.0,1.0,17.0,13.0,4.0,1.0,1.0
5423,BU19240201,Goeree-Overflakkee            ,Buurt   ,BU19240201,       1,1475,19.0,16.0,11.0,0.0,2.0,0.0,0.0,6.0,0.0,3.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,11.0,4.0,1.0,1.0
5424,BU19240202,Goeree-Overflakkee            ,Buurt   ,BU19240202,       1,1865,20.0,18.0,13.0,2.0,0.0,0.0,0.0,5.0,3.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,3.0,1.0,0.0
5425,BU19240203,Goeree-Overflakkee            ,Buurt   ,BU19240203,       1,10,7.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,,,,,
5426,BU19240204,Goeree-Overflakkee            ,Buurt   ,BU19240204,       1,5,5.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,
5427,BU19240205,Goeree-Overflakkee            ,Buurt   ,BU19240205,       1,145,9.0,7.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,62.0,48.0,14.0,0.0,7.0
5428,WK192403  ,Goeree-Overflakkee            ,Wijk    ,WK192403  ,       1,7290,217.0,131.0,96.0,19.0,1.0,10.0,0.0,9.0,27.0,30.0,35.0,55.0,45.0,26.0,19.0,10.0,31.0,20.0,9.0,2.0,30.0,18.0,1.0,6.0,4.0
5429,BU19240301,Goeree-Overflakkee            ,Buurt   ,BU19240301,       1,1495,31.0,22.0,14.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,8.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,21.0,15.0,0.0,1.0,3.0
5430,BU19240302,Goeree-Overflakkee            ,Buurt   ,BU19240302,       1,1520,51.0,28.0,19.0,5.0,1.0,3.0,0.0,0.0,4.0,6.0,9.0,17.0,16.0,12.0,4.0,1.0,6.0,4.0,1.0,1.0,34.0,18.0,0.0,11.0,4.0
5431,BU19240303,Goeree-Overflakkee            ,Buurt   ,BU19240303,       1,1500,25.0,13.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,8.0,3.0,5.0,0.0,4.0,2.0,2.0,0.0,17.0,9.0,1.0,5.0,3.0
5432,BU19240304,Goeree-Overflakkee            ,Buurt   ,BU19240304,       1,1915,51.0,32.0,26.0,10.0,0.0,0.0,0.0,6.0,4.0,6.0,6.0,16.0,13.0,7.0,6.0,3.0,3.0,2.0,1.0,0.0,27.0,17.0,3.0,7.0,2.0
5433,BU19240305,Goeree-Overflakkee            ,Buurt   ,BU19240305,       1,70,18.0,15.0,15.0,0.0,0.0,1.0,0.0,0.0,11.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,257.0,214.0,0.0,14.0,29.0
5434,BU19240306,Goeree-Overflakkee            ,Buurt   ,BU19240306,       1,380,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,13.0,5.0,0.0,0.0,5.0
