Region_Code,year,Neighborhood_Name,Municipality_Name,Region_Type,Boundary_Change_Code,Dist_Primary_School,Count_Primary_1km,Count_Primary_3km,Count_Primary_5km,Dist_Secondary_Total,Count_Secondary_3km,Count_Secondary_5km,Count_Secondary_10km,Dist_Secondary_VMBO,Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal),Education | Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal),Dist_Secondary_HAVO_VWO,Count_Secondary_HAVO_VWO_3km,Count_Secondary_HAVO_VWO_5km,Count_Secondary_HAVO_VWO_10km,Dist_Public_Green_Total,Dist_Park,Dist_Day_Recreation,Dist_Forest,Dist_Nature_Area_Total,Dist_Nature_Area_Dry,Dist_Nature_Area_Wet,Dist_SemiPublic_Green,Dist_Sports_Field,Dist_Allotment_Garden,Dist_Holiday_Recreation,Dist_Cemetery,Dist_Recreation_Water,Dist_GP_Surgery,Count_GP_1km,Count_GP_3km,Count_GP_5km,Dist_GP_Out_Of_Hours,Dist_Pharmacy,Dist_Hospital_Incl_Outpatient,Count_Hospital_Incl_5km,Count_Hospital_Incl_10km,Count_Hospital_Incl_20km,Dist_Hospital_Excl_Outpatient,Count_Hospital_Excl_5km,Count_Hospital_Excl_10km,Count_Hospital_Excl_20km,Dist_Clinic_Infant_Child,Dist_Physiotherapist,Count_Physio_1km,Count_Physio_3km,Count_Physio_5km,Dist_Supermarket,Count_Supermarket_1km,Count_Supermarket_3km,Count_Supermarket_5km,Dist_Other_Grocery,Count_Other_Grocery_1km,Count_Other_Grocery_3km,Count_Other_Grocery_5km,Dist_Department_Store,Count_DeptStore_5km,Count_DeptStore_10km,Count_DeptStore_20km,Dist_Highway_Entrance,Dist_Train_Station_Total,Dist_Major_Transfer_Station
BU19040204,,Kievitsbuurt,Stichtse Vecht,Buurt     ,1,2.5,0.0,3.0,4.6,3.0,1.4,1.9,2.9,3.0,0.7,1.0,1.8,3.3,0.7,0.9,1.3,,,,,,,,,,,,,,3.1,0.0,0.1,1.3,12.6,3.2,12.5,0.0,0.2,9.0,12.6,0.0,0.1,5.1,,,,,,2.4,0.0,1.6,3.2,2.2,0.0,8.1,17.7,2.7,1.1,3.4,24.6,3.3,4.2,15.1
BU19040205,,Polder Breukelerwaard,Stichtse Vecht,Buurt     ,1,2.7,0.0,1.0,7.3,2.7,0.9,2.0,3.5,2.7,0.9,1.0,2.5,3.9,0.0,1.0,1.5,,,,,,,,,,,,,,4.0,0.0,0.0,1.8,10.9,4.0,10.5,0.0,0.0,7.6,10.9,0.0,0.0,4.6,,,,,,3.0,0.0,1.2,3.8,2.9,0.0,5.3,17.4,2.9,1.0,3.5,26.5,0.6,1.7,14.0
BU19040206,,Polder Nijenrode,Stichtse Vecht,Buurt     ,1,2.3,0.0,2.6,9.7,2.8,0.8,2.1,10.7,2.8,0.7,1.1,8.5,3.5,0.1,1.1,6.0,,,,,,,,,,,,,,2.9,0.0,0.6,4.1,8.3,3.0,8.3,0.0,1.0,10.0,8.3,0.0,1.0,7.9,,,,,,2.4,0.0,2.7,10.2,2.2,0.0,13.4,45.8,2.3,2.7,8.1,28.2,0.5,3.5,11.0
BU19040207,,Breukelen Noord,Stichtse Vecht,Buurt     ,1,0.5,2.7,4.0,6.8,0.7,2.0,2.0,4.3,1.5,1.0,1.0,3.3,0.7,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,0.5,1.0,2.0,11.9,1.0,11.9,0.0,0.0,11.2,11.9,0.0,0.0,7.2,,,,,,0.4,1.4,3.0,4.0,0.4,7.7,16.0,21.0,1.4,1.0,3.0,26.6,0.8,2.7,14.5
BU19040208,,Corridor,Stichtse Vecht,Buurt     ,1,2.3,0.0,2.9,4.7,1.8,1.5,2.0,4.2,1.8,1.0,1.0,3.2,3.0,0.5,1.0,2.0,,,,,,,,,,,,,,3.1,0.0,0.5,1.0,10.2,3.1,10.2,0.0,0.5,10.4,10.2,0.0,0.5,6.3,,,,,,2.0,0.0,2.5,3.0,2.0,0.0,12.8,16.0,2.0,1.0,3.0,27.4,1.0,0.6,14.2
BU19040209,,Landgoed Nijenrode,Stichtse Vecht,Buurt     ,1,2.0,0.0,4.0,4.3,1.8,2.0,2.0,5.0,1.8,1.0,1.0,4.0,2.6,1.0,1.0,2.0,,,,,,,,,,,,,,2.7,0.0,0.6,1.3,11.0,2.7,11.0,0.0,0.1,9.8,11.0,0.0,0.1,7.1,,,,,,1.8,0.0,2.6,3.3,1.7,0.0,13.3,17.9,1.7,1.1,3.2,25.7,1.4,2.8,13.7
BU19040210,,Kanaalzone Zuid Breukelen,Stichtse Vecht,Buurt     ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU19040211,,Scheendijk,Stichtse Vecht,Buurt     ,1,2.3,0.0,3.4,5.5,2.7,1.4,2.0,2.3,2.7,0.9,1.0,1.3,2.9,0.5,1.0,1.3,,,,,,,,,,,,,,3.1,0.0,0.5,1.5,12.8,3.1,12.8,0.0,0.0,9.5,12.8,0.0,0.0,5.5,,,,,,2.1,0.0,2.3,3.5,2.0,0.0,12.0,18.8,2.4,1.0,3.0,24.0,2.8,3.8,15.5
BU19040212,,Broeckland,Stichtse Vecht,Buurt     ,1,1.3,0.1,4.0,4.9,1.3,2.0,2.0,5.0,1.3,1.0,1.0,4.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,2.1,0.0,1.0,1.1,10.4,2.1,10.4,0.0,0.0,11.9,10.4,0.0,0.0,8.0,,,,,,1.1,0.4,3.0,3.3,1.0,1.6,16.0,18.3,1.0,1.1,4.1,27.9,0.8,2.1,13.1
BU19040213,,Breukelen Zuid,Stichtse Vecht,Buurt     ,1,0.7,1.6,4.0,4.7,0.4,2.0,2.0,5.0,0.4,1.0,1.0,4.0,1.4,1.0,1.0,2.0,,,,,,,,,,,,,,1.5,0.0,1.0,1.1,10.6,1.5,10.6,0.0,0.0,12.9,10.6,0.0,0.0,8.0,,,,,,0.5,2.0,3.0,3.2,0.4,9.7,16.0,17.9,0.4,1.1,4.0,28.3,1.0,1.4,13.3
