Date;source;target;Rides planned;Final arrival delay;Final arrival cancelled;Completely cancelled;Intermediate arrival delays;Statistical Causes;Disruption Count;DR;RH;SQ;TG;TN;TX;RHX;VVX;T10N;FHVEC;Disrupted;year;source_WorkHistory_NotEmployed_Last4Y_pct;source_WorkHistory_ConstantlyEmployed_Last4Y_pct;source_WorkHistory_Retired_pct;source_Wealth_Percentile_1_40_pct;source_Income_Avg_Percentile_Score;source_Edu_Low_pct;source_Edu_High_Total_pct;source_PrivateHouseholds_Count;source_SES_Score_WorkHistory_Avg;source_SES_Score_Wealth_Avg;source_SES_Score_Education_Avg;source_NetWorth_Avg_Percentile_Score;source_Population;source_TotalPropertyDamageAndViolence_Index;source_BicycleTheft;source_TotalVandalism;source_TotalViolentAndSexualCrimes;source_TotalPropertyCrimes_Rate;source_Dist_Secondary_Total;source_Dist_GP_Surgery;source_Dist_Supermarket;source_Dist_Highway_Entrance;source_Dist_Train_Station_Total;source_Dist_Major_Transfer_Station;target_WorkHistory_NotEmployed_Last4Y_pct;target_WorkHistory_ConstantlyEmployed_Last4Y_pct;target_WorkHistory_Retired_pct;target_Wealth_Percentile_1_40_pct;target_Income_Avg_Percentile_Score;target_Edu_Low_pct;target_Edu_High_Total_pct;target_PrivateHouseholds_Count;target_SES_Score_WorkHistory_Avg;target_SES_Score_Wealth_Avg;target_SES_Score_Education_Avg;target_NetWorth_Avg_Percentile_Score;target_Population;target_TotalPropertyDamageAndViolence_Index;target_BicycleTheft;target_TotalVandalism;target_TotalViolentAndSexualCrimes;target_TotalPropertyCrimes_Rate;target_Dist_Secondary_Total;target_Dist_GP_Surgery;target_Dist_Supermarket;target_Dist_Highway_Entrance;target_Dist_Train_Station_Total;target_Dist_Major_Transfer_Station
2022-01-13;Schiphol Airport;Amersfoort Schothorst;18;8;0;0;9;No Disruption;0.0;0.0;0.0;10.0;56.0;40.0;75.0;0.0;   57;41.0;40.0;False;2022;3.2985714285714285;59.28285714285715;26.46;27.837142857142855;58.09714285714286;17.08;35.37996430763837;689.6907216494845;0.06227142857142857;0.10101428571428571;0.04752857142857143;59.40714285714286;;;;;;;3.5808695652173914;1.7721739130434784;1.7321739130434781;1.4530434782608694;4.242608695652174;8.765217391304347;4.881196581196582;59.06581196581197;22.984615384615385;33.49059829059829;56.246153846153845;15.897435897435898;35.37996430763837;479.3103448275862;0.04611965811965812;0.05852991452991453;0.07897435897435898;54.414529914529915;;;;;;;1.217365269461078;0.9604790419161677;0.9640718562874252;1.7467065868263472;2.695808383233533;4.536526946107784
2020-01-01;Brussel-Zuid/Midi;Marne-la-Vallée-Chessy;1;0;0;0;0;No Disruption;0.0;;;;;;;;;;;False;2020;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231
2020-03-16;Amsterdam Centraal;Breda;34;0;10;0;5;No Disruption;0.0;0.0;0.0;   67;71.0;28.0;117.0;0.0;   78;5.0;25.0;False;2020;8.165450121654501;49.92238442822384;17.971046228710463;46.98515815085158;48.49294403892944;18.28905109489051;35.37996430763837;908.7040618955513;-0.03948905109489051;-0.06071776155717762;0.07377615571776155;43.91070559610706;;;;;;;1.2122657580919933;0.766098807495741;0.7597955706984668;2.1819420783645653;2.890289608177172;3.808517887563884;5.365306122448979;53.17551020408163;25.014285714285716;36.62244897959184;53.018367346938774;17.3734693877551;35.37996430763837;1557.142857142857;0.01020408163265306;0.022224489795918366;0.053816326530612246;53.47142857142857;;;;;;;1.8205882352941176;1.1117647058823528;1.0794117647058825;2.652941176470588;3.748529411764706;4.404411764705882
2024-05-19;Schiphol Airport;Den Haag Centraal;2;0;0;0;0;No Disruption;0.0;0.0;0.0;128.0;176.0;115.0;227.0;0.0;   83;97.0;37.0;False;2024;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231
2023-02-09;Schiphol Airport;Den Haag Centraal;1;0;0;0;0;No Disruption;0.0;0.0;0.0;21.0;20.0;-18.0;61.0;0.0;   75;-44.0;33.0;False;2023;4.268055555555556;59.040277777777774;25.355555555555554;29.58055555555556;56.90277777777778;17.490277777777777;35.37996430763837;708.2474226804123;0.05225;0.08730555555555557;0.0445;58.513888888888886;;;;;;;3.5808695652173914;1.7721739130434784;1.7321739130434781;1.4530434782608694;4.242608695652174;8.765217391304347;9.251401869158878;48.97383177570093;23.427102803738315;44.174766355140186;49.800000000000004;21.763551401869158;35.37996430763837;2379.8245614035086;-0.04313084112149533;-0.03381308411214953;0.0338411214953271;46.73831775700935;;;;;;;1.0180645161290323;0.7464516129032258;0.7296774193548387;3.072258064516129;3.4296774193548387;4.401290322580645
2024-05-24;Amsterdam Centraal;Paris-Nord;12;1;0;0;12;No Disruption;0.0;79.0;157.0;24.0;152.0;105.0;199.0;61.0;   75;81.0;10.0;False;2024;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231;4.600722816224806;54.80691305713388;29.746857925909016;33.35413912563308;53.71579665503199;19.51860987650697;35.37996430763837;654.2978133563217;0.03605521939025223;0.05269473328940458;0.025174107354664754;56.14685960012176;;;;;;;3.555733518681653;1.695078890429364;1.5788067577268325;2.0081706233236445;5.963447638690507;13.379273544681231
2020-04-08;Enkhuizen;Amsterdam Centraal;7;0;5;5;1;No Disruption;0.0;0.0;0.0;115.0;138.0;60.0;226.0;0.0;   81;44.0;16.0;False;2020;5.470000000000001;52.7;31.339999999999996;38.52;50.209999999999994;24.65;35.37996430763837;442.10526315789474;0.0201;0.0124;-0.02899999999999999;51.81;;;;;;;2.1399999999999997;1.3199999999999998;1.21;1.45;2.775;3.0100000000000002;8.165450121654501;49.92238442822384;17.971046228710463;46.98515815085158;48.49294403892944;18.28905109489051;35.37996430763837;908.7040618955513;-0.03948905109489051;-0.06071776155717762;0.07377615571776155;43.91070559610706;;;;;;;1.2122657580919933;0.766098807495741;0.7597955706984668;2.1819420783645653;2.890289608177172;3.808517887563884
2021-11-08;Dordrecht;Nijmegen;8;6;0;0;8;No Disruption;0.0;0.0;0.0;29.0;80.0;46.0;123.0;0.0;   76;13.0;20.0;False;2021;6.754444444444444;53.861111111111114;26.24;39.45222222222222;51.79111111111111;21.227777777777778;35.37996430763837;412.1212121212121;0.0077333333333333325;0.0031000000000000003;0.014055555555555557;48.724444444444444;;;;;;;1.708130081300813;1.1544715447154472;0.9658536585365853;1.583739837398374;2.0983739837398376;3.191869918699187;7.955263157894737;45.873684210526314;21.507894736842104;51.93421052631579;43.847368421052636;17.655263157894737;35.37996430763837;2131.818181818182;-0.06331578947368421;-0.11071052631578947;0.0618421052631579;41.9078947368421;;;;;;;1.498076923076923;1.021153846153846;0.8711538461538461;2.036538461538462;2.0;4.098076923076923
2019-05-24;Assen;Groningen;12;0;0;0;1;No Disruption;0.0;0.0;0.0;121.0;133.0;103.0;181.0;0.0;;84.0;47.0;False;2019;6.0;53.3044776119403;29.700000000000003;36.38059701492537;52.47014925373134;19.51860987650697;41.505970149253734;285.8490566037736;0.03605521939025223;0.05269473328940458;0.025174107354664754;50.84029850746269;;;;;;;2.2301724137931034;1.539655172413793;1.3456896551724138;2.718965517241379;4.027586206896552;4.027586206896552;8.1;48.41034482758621;21.679310344827584;44.59540229885058;47.51149425287356;19.51860987650697;50.38275862068966;864.8648648648649;0.03605521939025223;0.05269473328940458;0.025174107354664754;47.64137931034483;;;;;;;3.1137254901960785;1.5483660130718955;1.4823529411764707;1.3169934640522876;3.5993464052287583;5.639869281045751
2020-10-25;Eindhoven Centraal;Tilburg Universiteit;31;14;0;0;15;No Disruption;0.0;53.0;59.0;1.0;121.0;93.0;158.0;19.0;   75;85.0;47.0;False;2020;6.986315789473685;49.23789473684211;23.36;43.78526315789474;49.51578947368421;19.063157894736843;35.37996430763837;1018.1034482758621;-0.03016842105263158;-0.03514736842105263;0.05587368421052631;47.86842105263158;;;;;;;1.478030303030303;1.012121212121212;0.8757575757575757;2.6234848484848485;3.403787878787879;3.912121212121212;6.7542857142857144;51.65828571428572;23.676571428571428;46.01542857142857;46.88457142857143;21.698857142857143;35.37996430763837;417.3228346456693;-0.012331428571428571;-0.058314285714285714;0.010245714285714285;44.848;;;;;;;1.7595890410958903;1.007191780821918;1.016095890410959;2.8996575342465754;2.94041095890411;4.531164383561643
