Model,Feature Set,Seed,Threshold,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
LSTM,T+O+W,21,0.47076305747032166,0.7185082205029014,0.7530795072788354,0.7154255319148937,0.7337697763229678,0.7172834166716004,0.8238699215753627,0.7886538254889319,1345,1143,441,535
LSTM,T+O+W,37,0.6282153725624084,0.7402885235332044,0.7833430401863716,0.7154255319148937,0.7478454267445093,0.7377774116610568,0.8225097844896184,0.7990150843541802,1345,1212,372,535
LSTM,T+O+W,55,0.5883995890617371,0.7445142918547174,0.7787759685569905,0.7377659574468085,0.7577164709095875,0.7431067815215217,0.8322867688046058,0.8031273506339995,1387,1190,394,493
LSTM,T+O+W,77,0.5114309191703796,0.7428769073715882,0.7646121147715197,0.7654255319148936,0.7650186071238703,0.7429009649643357,0.8326071201645222,0.8027838222652053,1439,1141,443,441
LSTM,T+O+W,99,0.499996542930603,0.7296018697614443,0.7490852064819655,0.7622340425531915,0.755602425520696,0.7299543228081948,0.8297186985114395,0.7951325085966043,1433,1104,480,447
LSTM,T+O+W,123,0.5114298462867737,0.7143899097356544,0.7449259462424574,0.7223404255319149,0.7334593572778828,0.7137064228249879,0.8231103565561104,0.7832366215344938,1358,1119,465,522
GRU,T+O+W,42,0.44212689995765686,0.7196956264775414,0.7225130890052356,0.8074468085106383,0.7626224566691786,0.7209786867668934,0.8310181707716013,0.8017545803782505,1518,1001,583,362
GRU,T+O+W,1,0.47606608271598816,0.7370459918332259,0.7565582371458552,0.7670212765957447,0.7617538298996303,0.7373377679097133,0.8340251106288816,0.8045266494734581,1442,1120,464,438
GRU,T+O+W,7,0.498867928981781,0.7325099398237696,0.7516989022477784,0.7648936170212766,0.7582388610598471,0.7328674369095088,0.8307173540082469,0.7982944471308833,1438,1109,475,442
GRU,T+O+W,13,0.4260490834712982,0.7172523103374167,0.7211079274116523,0.8031914893617021,0.7599396074484147,0.718493838930707,0.8331481773312848,0.8006501182033096,1510,1000,584,370
GRU,T+O+W,21,0.4338228702545166,0.7170091876208897,0.7143514259429623,0.826063829787234,0.7661568820917612,0.7181515099394088,0.8385279526023363,0.8088464431549537,1553,963,621,327
GRU,T+O+W,37,0.5106647610664368,0.7403785192349022,0.7714443829551744,0.7414893617021276,0.7561703281800922,0.7393934022881331,0.8219105711661603,0.7941492719750699,1394,1171,413,486
GRU,T+O+W,55,0.4225844740867615,0.7209582527401677,0.7238912732474965,0.8074468085106383,0.7633894895649987,0.7222572659617607,0.8304498818451991,0.8018079733505264,1518,1005,579,362
GRU,T+O+W,77,0.505867063999176,0.7344723834085536,0.7775189283634246,0.7101063829787234,0.7422852376980817,0.7319952156668132,0.8296796171493268,0.7988794191919193,1335,1202,382,545
GRU,T+O+W,99,0.5055301785469055,0.7311600042983022,0.7561761546723953,0.7489361702127659,0.7525387493319081,0.730946085274868,0.8340258460338994,0.8022357887384484,1408,1130,454,472
GRU,T+O+W,123,0.543940007686615,0.7362279712013755,0.7614431879375336,0.752127659574468,0.7567567567567568,0.7359465388296476,0.8189938078180751,0.7968615678057167,1414,1141,443,466
LSTM,T+O+W+S,42,0.5938241481781006,0.7330002149151085,0.7948395217117684,0.6718085106382978,0.7281637359469588,0.7277707954091545,0.8273996471530207,0.7992961530195573,1263,1258,326,617
LSTM,T+O+W+S,1,0.6019757390022278,0.7332634859230605,0.8006430868167203,0.6622340425531915,0.7248908296943232,0.7271748737649972,0.8237849695866873,0.7976722007307113,1245,1274,310,635
