"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)"
"Wijk 02 Oosteinde";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";1;8,6;8,8
"Bovenlanden";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";1,6;7,3;8,3
"Greenpark";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";1,1;8,3;8,7
"Oosteinde";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";0,9;8,8;8,8
"Schinkelpolder";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";1,2;9,5;10
"Aalten";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1";1;4,4;41,3
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";1,4;4,2;40,2
"Barlo-Kern";"Aalten                                  ";"Buurt     ";"BU01970101";"1";0,7;4,3;38,8
"Verspreide huizen Barlo";"Aalten                                  ";"Buurt     ";"BU01970102";"1";1,4;4,7;38,1
"Verspreide huizen Heurne";"Aalten                                  ";"Buurt     ";"BU01970103";"1";0,8;2,8;42,8
"Verspreide huizen IJzerlo";"Aalten                                  ";"Buurt     ";"BU01970104";"1";0,9;5,4;42,6
"IJzerlo-kern";"Aalten                                  ";"Buurt     ";"BU01970105";"1";0,3;5,4;43
"Lintelo-kern";"Aalten                                  ";"Buurt     ";"BU01970106";"1";1,2;5,2;37,9
"Verspreide huizen ten westen van Aalten";"Aalten                                  ";"Buurt     ";"BU01970107";"1";1,2;2,7;39,5
"Verspreide huizen Lintelo";"Aalten                                  ";"Buurt     ";"BU01970108";"1";1,6;4,9;37,9
"Verspreide huizen Dalese Veld";"Aalten                                  ";"Buurt     ";"BU01970109";"1";2,5;5,3;35,9
"Verspreide huizen Dale";"Aalten                                  ";"Buurt     ";"BU01970110";"1";1;2,6;38,8
"Verspreide huizen Haart";"Aalten                                  ";"Buurt     ";"BU01970111";"1";2,5;4,1;43,5
"Haart-kern";"Aalten                                  ";"Buurt     ";"BU01970112";"1";2,1;5,5;44,2
"Wijk 02 Bredevoort";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";0,6;4,3;41,6
"Verspreide huizen Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970201";"1";1,3;5,3;40,3
"Verspreide huizen Hollenberg";"Aalten                                  ";"Buurt     ";"BU01970202";"1";0,2;3,1;41,2
"Verspreide huizen Het Zwanenbroek";"Aalten                                  ";"Buurt     ";"BU01970203";"1";1,1;4,4;42,5
"Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970204";"1";0,6;4,3;41,8
"Wijk 03 Aalten Kern";"Aalten                                  ";"Wijk      ";"WK019703  ";"1";0,8;1,1;40,5
"Aalten-kern West";"Aalten                                  ";"Buurt     ";"BU01970301";"1";0,8;1;39,9
"Aalten-kern Zuid 1";"Aalten                                  ";"Buurt     ";"BU01970302";"1";1;0,9;41,2
"Aalten-kern Zuid 2";"Aalten                                  ";"Buurt     ";"BU01970303";"1";0,7;1,4;41,7
"Aalten-kern Noord/Noordoost";"Aalten                                  ";"Buurt     ";"BU01970304";"1";0,5;1,4;40
"Aalten Kern 't Kobus";"Aalten                                  ";"Buurt     ";"BU01970305";"1";0,7;1,7;39,6
"Aalten-kern Oost";"Aalten                                  ";"Buurt     ";"BU01970306";"1";1,1;1,1;40,8
"Aalten-kern Centrum";"Aalten                                  ";"Buurt     ";"BU01970307";"1";1;0,7;40,3
"Wijk 04 Dinxperlo";"Aalten                                  ";"Wijk      ";"WK019704  ";"1";1,3;9,7;42,9
"Dinxperlo Centrum/Oost";"Aalten                                  ";"Buurt     ";"BU01970400";"1";1,1;10;43,6
"Dinxperlo Noord";"Aalten                                  ";"Buurt     ";"BU01970401";"1";1,1;9,9;43
"Dinxperlo West";"Aalten                                  ";"Buurt     ";"BU01970402";"1";1,2;10,4;43
"De Heurne-kern";"Aalten                                  ";"Buurt     ";"BU01970403";"1";2,2;7,5;40,3
"Verspreide huizen Dinxperlo";"Aalten                                  ";"Buurt     ";"BU01970408";"1";0,9;9,1;42,8
"Verspreide huizen De Heurne";"Aalten                                  ";"Buurt     ";"BU01970409";"1";2,3;7,2;40,7
"Achtkarspelen";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";"1";1,3;7,2;27
"Wijk 00 Noord";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1";1,3;3,3;24,9
