"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)"
"Zwanenburg Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03940350";"1";0,6;3,2;8,6
"Lijnden / Boesingheliede";"Haarlemmermeer                          ";"Wijk      ";"WK039404  ";"1";1;5,2;8,1
"Lijnden Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03940429";"3";0,7;6,4;7,5
"Lijnden";"Haarlemmermeer                          ";"Buurt     ";"BU03940465";"3";1,2;5;8,2
"Boesingheliede";"Haarlemmermeer                          ";"Buurt     ";"BU03940466";"1";0,3;4,9;8,8
"Badhoevedorp";"Haarlemmermeer                          ";"Wijk      ";"WK039405  ";"1";1,1;6,2;6,5
"Badhoevedorp Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03940551";"1";1;4,3;4,3
"Badhoevedorp Noordwest";"Haarlemmermeer                          ";"Buurt     ";"BU03940552";"1";1,3;6,5;6,7
"Badhoevedorp West";"Haarlemmermeer                          ";"Buurt     ";"BU03940553";"1";1;6,2;6,2
"Badhoevedorp Bouwlust";"Haarlemmermeer                          ";"Buurt     ";"BU03940554";"1";0,7;6,3;6,3
"Badhoevedorp Zuid";"Haarlemmermeer                          ";"Buurt     ";"BU03940556";"1";0,4;5,7;5,7
"Badhoevedorp Centrum";"Haarlemmermeer                          ";"Buurt     ";"BU03940557";"1";1,1;5,9;6,3
"Badhoevedorp Noordoost";"Haarlemmermeer                          ";"Buurt     ";"BU03940558";"1";1,4;5,8;6,8
"Badhoevedorp Antoniushoeve";"Haarlemmermeer                          ";"Buurt     ";"BU03940559";"1";1,6;6,3;7,2
"Badhoevedorp Oost";"Haarlemmermeer                          ";"Buurt     ";"BU03940560";"1";0,8;5,9;6,3
"Badhoevedorp Schuilhoeve";"Haarlemmermeer                          ";"Buurt     ";"BU03940561";"1";0,4;6,4;6,4
"Badhoevedorp Dijk";"Haarlemmermeer                          ";"Buurt     ";"BU03940562";"1";1,6;6;7
"Badhoevedorp Nieuwe Meer";"Haarlemmermeer                          ";"Buurt     ";"BU03940564";"1";1,6;7,2;8,3
"Aalsmeerderbrug/ Oude Meer/ Rozenburg / ";"Haarlemmermeer                          ";"Wijk      ";"WK039406  ";"1";0,8;5,4;6
"Schiphol-Rijk";"Haarlemmermeer                          ";"Buurt     ";"BU03940674";"1";0,3;4,2;5,1
"Oude Meer";"Haarlemmermeer                          ";"Buurt     ";"BU03940675";"1";0,6;6,5;6,5
"Aalsmeerderbrug";"Haarlemmermeer                          ";"Buurt     ";"BU03940676";"1";0,9;5,4;5,9
"Rozenburg Noord";"Haarlemmermeer                          ";"Buurt     ";"BU03940677";"1";0,8;3,3;4,5
"Rozenburg Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03940678";"1";2,5;6;7,7
"Rijsenhout";"Haarlemmermeer                          ";"Wijk      ";"WK039407  ";"1";3;5,8;9,1
"Rijsenhout Dorp";"Haarlemmermeer                          ";"Buurt     ";"BU03940779";"1";3;5,8;8,9
"Rijsenhout Zuid";"Haarlemmermeer                          ";"Buurt     ";"BU03940780";"1";3,2;5,7;9,6
"Rijsenhout Dijk";"Haarlemmermeer                          ";"Buurt     ";"BU03940781";"1";2,7;6,2;8,5
"Rijsenhout Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03940782";"1";2,8;5,6;9,3
"Burgerveen / Leimuiderbrug / Weteringbru";"Haarlemmermeer                          ";"Wijk      ";"WK039408  ";"1";1,5;4,8;13,2
"Burgerveen";"Haarlemmermeer                          ";"Buurt     ";"BU03940883";"1";1,5;3,5;12,1
"Leimuiderbrug";"Haarlemmermeer                          ";"Buurt     ";"BU03940884";"1";0,3;4,3;12,6
"Weteringbrug";"Haarlemmermeer                          ";"Buurt     ";"BU03940885";"1";1,6;6;14,2
"Abbenes / Buitenkaag";"Haarlemmermeer                          ";"Wijk      ";"WK039409  ";"1";1,6;6,2;14,1
"Abbenes";"Haarlemmermeer                          ";"Buurt     ";"BU03940986";"1";1,6;5,6;14,1
"Abbenes Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03940987";"1";1,3;5,4;14
"Buitenkaag";"Haarlemmermeer                          ";"Buurt     ";"BU03940988";"1";1,6;7,6;14
"Abbenes Dijk";"Haarlemmermeer                          ";"Buurt     ";"BU03940989";"1";2;7,6;14
"Lisserbroek";"Haarlemmermeer                          ";"Wijk      ";"WK039410  ";"1";2,5;6,9;15,6
"Lisserbroek";"Haarlemmermeer                          ";"Buurt     ";"BU03941090";"1";2,4;6,9;15,5
"Lisserbroek Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03941091";"1";3,6;6,2;16
"Beinsdorp";"Haarlemmermeer                          ";"Wijk      ";"WK039411  ";"1";3;3,3;13,5
"Beinsdorp Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03941192";"1";3,2;3,6;12,7
"Beinsdorp";"Haarlemmermeer                          ";"Buurt     ";"BU03941193";"1";3;3,2;13,6
"Zwaanshoek";"Haarlemmermeer                          ";"Wijk      ";"WK039412  ";"1";2,1;5,8;10,5
"Zwaanshoek";"Haarlemmermeer                          ";"Buurt     ";"BU03941294";"1";2,3;5,8;10,6
"Zwaanshoek Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03941295";"1";1,7;6;9,8
"Cruquius";"Haarlemmermeer                          ";"Wijk      ";"WK039413  ";"1";0,8;5,5;8,3
"Cruquius";"Haarlemmermeer                          ";"Buurt     ";"BU03941397";"1";0,6;4,7;7,4
"Cruquius Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03941398";"1";0,6;5,8;8,6
"Cruquius Cruquiushoeve";"Haarlemmermeer                          ";"Buurt     ";"BU03941399";"1";1;6,2;9
"Vijfhuizen";"Haarlemmermeer                          ";"Wijk      ";"WK039415  ";"1";1,1;7;7,1
"Vijfhuizen";"Haarlemmermeer                          ";"Buurt     ";"BU03941567";"1";1,3;7,3;7,4
"Vijfhuizen Stellinghof";"Haarlemmermeer                          ";"Buurt     ";"BU03941569";"1";0,9;7,2;7,2
"Vijfhuizen Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03941570";"1";0,9;6,5;7,2
"Vijfhuizen Nieuwebrug";"Haarlemmermeer                          ";"Buurt     ";"BU03941571";"1";1,2;5,3;5,9
"Schiphol";"Haarlemmermeer                          ";"Wijk      ";"WK039416  ";"1";0,7;1,7;1,7
"Schiphol";"Haarlemmermeer                          ";"Buurt     ";"BU03941663";"1";0,7;1,7;1,7
"Spaarndam";"Haarlemmermeer                          ";"Wijk      ";"WK039420  ";"1";2;4,3;6,1
"Spaarndam";"Haarlemmermeer                          ";"Buurt     ";"BU03942038";"1";1,9;4,3;6,1
"Spaarndam Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03942042";"1";2,5;4,1;6
"Spaarnwoude";"Haarlemmermeer                          ";"Buurt     ";"BU03942096";"1";3,2;3,2;5,2
"Haarlemmerliede";"Haarlemmermeer                          ";"Wijk      ";"WK039421  ";"1";2,1;2,2;4,3
"Haarlemmerliede";"Haarlemmermeer                          ";"Buurt     ";"BU03942120";"1";2,2;2,4;4,4
"Penningsveer";"Haarlemmermeer                          ";"Buurt     ";"BU03942121";"1";1,7;1,4;3,4
"Haarlemmerliede Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03942128";"1";1,9;2,7;4,8
"Halfweg";"Haarlemmermeer                          ";"Wijk      ";"WK039422  ";"1";0,7;1,6;7
"Halfweg";"Haarlemmermeer                          ";"Buurt     ";"BU03942272";"1";0,6;1,6;6,9
"Halfweg Omgeving";"Haarlemmermeer                          ";"Buurt     ";"BU03942273";"1";2,4;3,8;8
"Halderberge";"Halderberge                             ";"Gemeente  ";"GM1655    ";"1";1,3;3,5;9,5
"Wijk 01 Oud Gastel";"Halderberge                             ";"Wijk      ";"WK165501  ";"1";1,2;6,3;7,5
"Oud Gastel";"Halderberge                             ";"Buurt     ";"BU16550101";"1";1,2;6,4;7,4
"Stoof";"Halderberge                             ";"Buurt     ";"BU16550102";"1";1,6;5,8;8,2
"Verspreide huizen Oud Gastel";"Halderberge                             ";"Buurt     ";"BU16550109";"1";0,8;5,2;7,3
"Wijk 02 Stampersgat";"Halderberge                             ";"Wijk      ";"WK165502  ";"1";1;8,3;10,5
"Stampersgat";"Halderberge                             ";"Buurt     ";"BU16550201";"1";1;8,3;10,6
"Verspreide huizen Stampersgat";"Halderberge                             ";"Buurt     ";"BU16550209";"1";1,3;8,9;9,8
"Wijk 03 Oudenbosch";"Halderberge                             ";"Wijk      ";"WK165503  ";"1";1,5;1,3;9,7
"Oudenbosch-Centrum";"Halderberge                             ";"Buurt     ";"BU16550301";"1";1,9;0,9;9,6
"Pagnevaart";"Halderberge                             ";"Buurt     ";"BU16550302";"1";1,5;1;10,2
"Velletri";"Halderberge                             ";"Buurt     ";"BU16550303";"1";1,1;1,4;10,7
"Spui";"Halderberge                             ";"Buurt     ";"BU16550304";"1";1,7;1,2;9,1
"Albano";"Halderberge                             ";"Buurt     ";"BU16550305";"1";1,1;1,4;9,6
"Verspreide huizen Kuivezand en omgeving";"Halderberge                             ";"Buurt     ";"BU16550307";"1";1,6;2,8;7,6
"Verspr.h. ten noorden van Oudenbosch";"Halderberge                             ";"Buurt     ";"BU16550308";"1";2,2;2,1;10,8
"Verspr.h. ten zuiden van Oudenbosch";"Halderberge                             ";"Buurt     ";"BU16550309";"1";1,1;2,1;9,6
"Wijk 04 Hoeven";"Halderberge                             ";"Wijk      ";"WK165504  ";"1";0,8;4,3;11,7
"Hoeven";"Halderberge                             ";"Buurt     ";"BU16550401";"1";0,7;4,3;11,8
"Achter 't Hof";"Halderberge                             ";"Buurt     ";"BU16550402";"1";1,1;3,5;10,5
"Kruisstraat";"Halderberge                             ";"Buurt     ";"BU16550403";"1";0,5;2,7;11,7
"Verspreide huizen ten zuiden van Hoeven";"Halderberge                             ";"Buurt     ";"BU16550408";"1";1,3;4,9;10,8
"Verspreide huizen ten noorden van Hoeven";"Halderberge                             ";"Buurt     ";"BU16550409";"1";2,2;4,3;13,2
"Wijk 05 Bosschenhoofd";"Halderberge                             ";"Wijk      ";"WK165505  ";"1";1,2;3,8;7,9
"Bosschenhoofd";"Halderberge                             ";"Buurt     ";"BU16550501";"1";1,1;3,7;7,9
"Verspreide huizen Bosschenhoofd";"Halderberge                             ";"Buurt     ";"BU16550509";"1";1,4;3,9;8,2
"Hardenberg";"Hardenberg                              ";"Gemeente  ";"GM0160    ";"1";1,5;6,5;27,1
"Ane";"Hardenberg                              ";"Wijk      ";"WK016001  ";"3";1,1;3,1;28,8
"Ane Dorp";"Hardenberg                              ";"Buurt     ";"BU01600101";"3";0,4;2,2;28,3
"Verspreide huizen Ane";"Hardenberg                              ";"Buurt     ";"BU01600102";"3";1,4;3,3;29
"Anerveen";"Hardenberg                              ";"Wijk      ";"WK016002  ";"3";2,2;4,4;26,6
"Verspreide huizen Anerveen";"Hardenberg                              ";"Buurt     ";"BU01600201";"3";2,2;4,4;26,6
"Anevelde";"Hardenberg                              ";"Wijk      ";"WK016003  ";"3";1,6;3,8;29,9
"Verspreide huizen Anevelde";"Hardenberg                              ";"Buurt     ";"BU01600301";"3";1,6;3,8;29,9
"Balkbrug";"Hardenberg                              ";"Wijk      ";"WK016004  ";"3";1,2;12,6;19,9
"Balkbrug-Zuidwest";"Hardenberg                              ";"Buurt     ";"BU01600401";"3";0,3;11,8;20,5
"Balkbrug-Noord";"Hardenberg                              ";"Buurt     ";"BU01600402";"3";0,3;12,1;20,2
"Balkbrug-Zuidoost";"Hardenberg                              ";"Buurt     ";"BU01600403";"3";0,6;11,4;20,9
"Balkbrug-Benedenvaart";"Hardenberg                              ";"Buurt     ";"BU01600404";"3";0,6;13,2;19,2
"Verspreide huizen De Kolonie";"Hardenberg                              ";"Buurt     ";"BU01600405";"3";3,5;10,6;23,9
"Verspreide huizen Reestgebied (ged.)";"Hardenberg                              ";"Buurt     ";"BU01600406";"3";3;14,2;18,8
"Verspreide huizen Westerhuizingerveld";"Hardenberg                              ";"Buurt     ";"BU01600407";"3";3,2;15,1;16,9
"Bergentheim";"Hardenberg                              ";"Wijk      ";"WK016005  ";"3";1,3;4,3;22,7
"Bergentheim Kern";"Hardenberg                              ";"Buurt     ";"BU01600501";"3";1,2;4,4;22,7
"Verspreide huizen Bergentheimerveen";"Hardenberg                              ";"Buurt     ";"BU01600502";"3";1,5;5,2;22,7
"Verspreide huizen Oud-Bergentheim";"Hardenberg                              ";"Buurt     ";"BU01600503";"3";1,8;3,1;22,7
"Brucht";"Hardenberg                              ";"Wijk      ";"WK016006  ";"3";1;3,8;25,6
"Brucht";"Hardenberg                              ";"Buurt     ";"BU01600601";"3";1;3,8;25,6
"Collendoorn";"Hardenberg                              ";"Wijk      ";"WK016007  ";"3";1,2;4,8;31,7
"Collendoorn";"Hardenberg                              ";"Buurt     ";"BU01600701";"3";1,2;4,8;31,7
"De Krim";"Hardenberg                              ";"Wijk      ";"WK016008  ";"3";0,5;7,1;27,9
"De Krim";"Hardenberg                              ";"Buurt     ";"BU01600801";"3";0,6;8,2;29,9
"De Krim-Streekdorp";"Hardenberg                              ";"Buurt     ";"BU01600802";"3";0,2;7,2;27,2
"De Krim-Zuid";"Hardenberg                              ";"Buurt     ";"BU01600803";"3";0,4;6,9;28,1
"Verspreide huizen De Krim";"Hardenberg                              ";"Buurt     ";"BU01600804";"3";0,7;6,1;26,3
"Verspreide huizen Nieuwlande";"Hardenberg                              ";"Buurt     ";"BU01600805";"3";2,6;9,7;28,6
"Dedemsvaart";"Hardenberg                              ";"Wijk      ";"WK016009  ";"3";1,6;12,7;25,9
"Dedemsvaart-Noord";"Hardenberg                              ";"Buurt     ";"BU01600901";"3";1,1;13,2;25,6
"Dedemsvaart-Zuidwest";"Hardenberg                              ";"Buurt     ";"BU01600902";"3";1,9;12,1;25,4
"Dedemsvaart-Zuidoost";"Hardenberg                              ";"Buurt     ";"BU01600903";"3";1,9;13,2;26,3
"Rheezerend";"Hardenberg                              ";"Buurt     ";"BU01600904";"3";1;11,1;28,2
"Industriegebied Rollepaal";"Hardenberg                              ";"Buurt     ";"BU01600905";"3";1,2;13;26,9
"Verspreide huizen Colenbranderbos";"Hardenberg                              ";"Buurt     ";"BU01600906";"3";2,4;10,9;29,6
"Verspreide huizen Dedemsvaart";"Hardenberg                              ";"Buurt     ";"BU01600907";"3";3,9;11,9;28,2
"Verspreide huizen Ommerkanaal";"Hardenberg                              ";"Buurt     ";"BU01600908";"3";2,2;11,9;24,3
"Verspreide huizen Reestgebied";"Hardenberg                              ";"Buurt     ";"BU01600909";"3";1,4;14,3;25,3
"Den Velde";"Hardenberg                              ";"Wijk      ";"WK016010  ";"3";4,5;3,3;30,1
"Verspreide huizen Den Velde";"Hardenberg                              ";"Buurt     ";"BU01601001";"3";4,5;3,3;30,1
"Diffelen";"Hardenberg                              ";"Wijk      ";"WK016011  ";"3";2,7;3,1;23,3
"Diffelen";"Hardenberg                              ";"Buurt     ";"BU01601101";"3";2,7;3,1;23,3
"Gramsbergen";"Hardenberg                              ";"Wijk      ";"WK016012  ";"3";1,6;0,9;28,9
"Gramsbergen Kern";"Hardenberg                              ";"Buurt     ";"BU01601201";"3";1,6;0,6;28,3
"Gramsbergen Uitbreidingsplan";"Hardenberg                              ";"Buurt     ";"BU01601202";"3";1,7;1,2;29,3
"Heemserveen";"Hardenberg                              ";"Wijk      ";"WK016013  ";"3";0,5;4,5;30,7
"Heemserveen";"Hardenberg                              ";"Buurt     ";"BU01601301";"3";0,5;4,5;30,7
"Holtheme";"Hardenberg                              ";"Wijk      ";"WK016014  ";"3";3,9;3,1;27,9
"Verspreide huizen Holtheme-De Haandrik";"Hardenberg                              ";"Buurt     ";"BU01601401";"3";3,9;3,1;27,9
"Holthone";"Hardenberg                              ";"Wijk      ";"WK016015  ";"3";1,2;4,6;24,8
"Verspreide huizen Holthone";"Hardenberg                              ";"Buurt     ";"BU01601501";"3";1,2;4,6;24,8
"Hoogenweg";"Hardenberg                              ";"Wijk      ";"WK016016  ";"3";3,5;2,7;29,2
"Hoogenweg";"Hardenberg                              ";"Buurt     ";"BU01601601";"3";3,5;2,7;29,2
"Kloosterhaar";"Hardenberg                              ";"Wijk      ";"WK016017  ";"3";0,7;8,6;19,8
"Kloosterhaar Kern";"Hardenberg                              ";"Buurt     ";"BU01601701";"3";0,3;8,4;19,3
"Verspreide huizen Kloosterhaar";"Hardenberg                              ";"Buurt     ";"BU01601702";"3";2;9,1;21,3
"Loozen";"Hardenberg                              ";"Wijk      ";"WK016018  ";"3";3,7;3,2;30,6
"Verspreide huizen Loozen";"Hardenberg                              ";"Buurt     ";"BU01601801";"3";3,7;3,2;30,6
"Lutten";"Hardenberg                              ";"Wijk      ";"WK016019  ";"3";1,7;7,3;32
"Lutten Kern";"Hardenberg                              ";"Buurt     ";"BU01601901";"3";1,5;7,5;32,7
"Verspreide huizen Lutten-West";"Hardenberg                              ";"Buurt     ";"BU01601902";"3";0,8;8,1;31,4
"Verspreide huizen Lutten-Oost";"Hardenberg                              ";"Buurt     ";"BU01601903";"3";2,3;6,2;32,2
"Verspreide huizen Oud-Lutten";"Hardenberg                              ";"Buurt     ";"BU01601904";"3";2,6;6,5;31,5
"Marienberg";"Hardenberg                              ";"Wijk      ";"WK016020  ";"3";1,2;0,5;20,8
"Marienberg Kern";"Hardenberg                              ";"Buurt     ";"BU01602001";"3";1,1;0,4;20,9
"Verspreide huizen Marienberg";"Hardenberg                              ";"Buurt     ";"BU01602002";"3";1,2;1,2;20,2
"Radewijk";"Hardenberg                              ";"Wijk      ";"WK016021  ";"3";6,7;5,9;31,9
"Radewijk";"Hardenberg                              ";"Buurt     ";"BU01602101";"3";6,7;5,9;31,9
"Rheeze";"Hardenberg                              ";"Wijk      ";"WK016022  ";"3";3,9;5;25,7
"Rheeze";"Hardenberg                              ";"Buurt     ";"BU01602201";"3";3,9;5;25,7
"Rheezerveen";"Hardenberg                              ";"Wijk      ";"WK016023  ";"3";2,3;7,6;28,4
"Rheezerveen";"Hardenberg                              ";"Buurt     ";"BU01602301";"3";2,3;7,6;28,4
"Schuinesloot";"Hardenberg                              ";"Wijk      ";"WK016024  ";"3";2,9;11,8;30,1
"Schuinesloot Kern";"Hardenberg                              ";"Buurt     ";"BU01602401";"3";2,8;11,9;30
"Verspreide huizen Schuinesloot";"Hardenberg                              ";"Buurt     ";"BU01602402";"3";3;11,8;30,2
"Sibculo";"Hardenberg                              ";"Wijk      ";"WK016025  ";"3";0,7;5,5;17,2
"Sibculo Kern";"Hardenberg                              ";"Buurt     ";"BU01602501";"3";0,6;5,6;17,2
"Verspreide huizen Sibculo";"Hardenberg                              ";"Buurt     ";"BU01602502";"3";0,7;5,4;17,2
"Slagharen";"Hardenberg                              ";"Wijk      ";"WK016026  ";"3";0,9;10,2;30,1
"Slagharen Kern";"Hardenberg                              ";"Buurt     ";"BU01602601";"3";0,6;10;30,2
"De Belt";"Hardenberg                              ";"Buurt     ";"BU01602602";"3";2,1;11,5;29
"Verspreide huizen Slagharen-Oost";"Hardenberg                              ";"Buurt     ";"BU01602603";"3";0,7;9,7;31,5
"Verspreide huizen Slagharen-West";"Hardenberg                              ";"Buurt     ";"BU01602604";"3";2,1;11,2;28,7
"Venebrugge";"Hardenberg                              ";"Wijk      ";"WK016027  ";"3";4,6;4,1;28,5
"Venebrugge";"Hardenberg                              ";"Buurt     ";"BU01602701";"3";4,6;4,1;28,5
"Hardenberg";"Hardenberg                              ";"Wijk      ";"WK016028  ";"3";1,5;2,4;29,7
"Overig Stad Hardenberg";"Hardenberg                              ";"Buurt     ";"BU01602801";"3";1,6;1;28,9
"Industriegebied";"Hardenberg                              ";"Buurt     ";"BU01602802";"3";1,4;1,7;28
"Norden en Hazenbos";"Hardenberg                              ";"Buurt     ";"BU01602803";"3";1,3;3;29,1
"Heemse-Oost Heemsermars";"Hardenberg                              ";"Buurt     ";"BU01602804";"3";0,7;2;29,3
"Heemse-West Heemserbos";"Hardenberg                              ";"Buurt     ";"BU01602805";"3";1;2,8;29,1
"Baalder";"Hardenberg                              ";"Buurt     ";"BU01602806";"3";2;2,3;30
"Baalderveld";"Hardenberg                              ";"Buurt     ";"BU01602807";"3";2,2;2,2;29,7
"Marslanden";"Hardenberg                              ";"Buurt     ";"BU01602808";"3";0,9;3,6;30,7
"Centrum Saneringsgebied";"Hardenberg                              ";"Buurt     ";"BU01602809";"3";1,4;1,3;29,1
"De Velden";"Hardenberg                              ";"Buurt     ";"BU01602810";"3";;;
"Havezate Es";"Hardenberg                              ";"Buurt     ";"BU01602811";"3";1,3;4,1;31,4
"Leehoogte";"Hardenberg                              ";"Buurt     ";"BU01602812";"3";;;
"Ydenhoogte";"Hardenberg                              ";"Buurt     ";"BU01602813";"3";;;
"Bruchterveld";"Hardenberg                              ";"Wijk      ";"WK016029  ";"3";4;6,5;24,8
"Bruchterveld Kern";"Hardenberg                              ";"Buurt     ";"BU01602901";"3";4,3;6,8;24,7
"Verspreide huizen Bruchterveld";"Hardenberg                              ";"Buurt     ";"BU01602902";"3";3,8;6,3;25
"Harderwijk";"Harderwijk                              ";"Gemeente  ";"GM0243    ";"1";1,6;2,8;26
"Binnenstad";"Harderwijk                              ";"Wijk      ";"WK024301  ";"1";1,1;2;24,4
"Binnenstad Noord";"Harderwijk                              ";"Buurt     ";"BU02430101";"1";1;2,2;24,2
"Binnenstad Zuid";"Harderwijk                              ";"Buurt     ";"BU02430102";"1";1,3;1,8;24,6
"Waterfront";"Harderwijk                              ";"Wijk      ";"WK024302  ";"1";0,4;3,6;24
"De Eilanden";"Harderwijk                              ";"Buurt     ";"BU02430201";"1";0,4;3,6;24
"De Kades";"Harderwijk                              ";"Buurt     ";"BU02430202";"1";0,2;3,2;23,8
"Stadswerven";"Harderwijk                              ";"Buurt     ";"BU02430203";"1";0,4;2,3;23,7
"De Knar";"Harderwijk                              ";"Buurt     ";"BU02430204";"1";;;
"Zeebuurt";"Harderwijk                              ";"Wijk      ";"WK024303  ";"1";0,5;2,5;23,9
"Zeebuurt Oost";"Harderwijk                              ";"Buurt     ";"BU02430301";"1";0,5;2,6;23,9
"Zeebuurt West";"Harderwijk                              ";"Buurt     ";"BU02430302";"1";0,7;2,2;24
"Friesegracht";"Harderwijk                              ";"Wijk      ";"WK024304  ";"1";1,2;1,8;24,5
"Friesegracht Noord";"Harderwijk                              ";"Buurt     ";"BU02430401";"1";1,1;1,9;24,3
"Friesegracht Zuid";"Harderwijk                              ";"Buurt     ";"BU02430402";"1";1,4;1,7;24,7
"Stadsdennen";"Harderwijk                              ";"Wijk      ";"WK024305  ";"1";1,2;2,5;24,9
"Stadsdennen Noord";"Harderwijk                              ";"Buurt     ";"BU02430501";"1";1;2,3;24,6
"Stadsdennen Midden";"Harderwijk                              ";"Buurt     ";"BU02430502";"1";1,1;2,4;24,8
"Stadsdennen Oost";"Harderwijk                              ";"Buurt     ";"BU02430503";"1";1,5;2,9;25,2
"Stadsdennen Zuidwest";"Harderwijk                              ";"Buurt     ";"BU02430504";"1";1,5;2,6;25,2
"De Sypel";"Harderwijk                              ";"Wijk      ";"WK024306  ";"1";2,1;1,6;25,6
"Sypel Oost";"Harderwijk                              ";"Buurt     ";"BU02430601";"1";1,9;1,5;25,4
"Sypel West";"Harderwijk                              ";"Buurt     ";"BU02430602";"1";2,1;1,6;25,6
"Stationsomgeving";"Harderwijk                              ";"Wijk      ";"WK024307  ";"1";1,8;0,9;25,7
"Nachthok";"Harderwijk                              ";"Buurt     ";"BU02430701";"1";1,8;0,4;26
"Weiburg";"Harderwijk                              ";"Buurt     ";"BU02430702";"1";1,9;1,2;25,5
"Stadsweiden";"Harderwijk                              ";"Wijk      ";"WK024308  ";"1";2,4;1,7;26,2
"Kruithuis";"Harderwijk                              ";"Buurt     ";"BU02430801";"1";1,8;1,2;25,1
"Hanzewaard";"Harderwijk                              ";"Buurt     ";"BU02430802";"1";2;1,2;25,6
"Scheepswaard";"Harderwijk                              ";"Buurt     ";"BU02430803";"1";2,3;1,6;25,9
"Stedenwaard";"Harderwijk                              ";"Buurt     ";"BU02430804";"1";2,8;2;26,6
"Vogelwaard";"Harderwijk                              ";"Buurt     ";"BU02430805";"1";2,8;2,5;27,1
"Weidewaard";"Harderwijk                              ";"Buurt     ";"BU02430806";"1";2,4;2;26,6
"Drift";"Harderwijk                              ";"Buurt     ";"BU02430807";"1";2;1,2;26,1
"Stromenwaard";"Harderwijk                              ";"Buurt     ";"BU02430808";"1";2,1;1,3;25,7
"Slingerbos";"Harderwijk                              ";"Wijk      ";"WK024309  ";"1";0,7;1,7;26,9
"Slingerbos Noord";"Harderwijk                              ";"Buurt     ";"BU02430901";"1";0,8;1,6;26,8
"Slingerbos Zuid";"Harderwijk                              ";"Buurt     ";"BU02430902";"1";0,6;1,8;27
"Tweelingstad";"Harderwijk                              ";"Wijk      ";"WK024310  ";"1";0,9;2,2;26,1
"Veldkamp";"Harderwijk                              ";"Buurt     ";"BU02431001";"1";0,6;1,7;26,6
"Kranenburg";"Harderwijk                              ";"Buurt     ";"BU02431002";"1";1;1,4;26,2
"Bedrijvenpark Sypel";"Harderwijk                              ";"Buurt     ";"BU02431003";"1";1,1;1,8;25,8
"Tinnegieter";"Harderwijk                              ";"Buurt     ";"BU02431004";"1";0,8;2;26,1
"De Wittenhagen Noord";"Harderwijk                              ";"Buurt     ";"BU02431005";"1";1,1;2,6;25,9
"De Wittenhagen Zuid";"Harderwijk                              ";"Buurt     ";"BU02431006";"1";1,1;2,8;26
"Frankrijk";"Harderwijk                              ";"Wijk      ";"WK024311  ";"1";1,3;3,5;24,8
"Broekland";"Harderwijk                              ";"Buurt     ";"BU02431101";"1";0,8;3,4;24,3
"De Akker";"Harderwijk                              ";"Buurt     ";"BU02431102";"1";1,2;3,7;24,7
"Walstein";"Harderwijk                              ";"Buurt     ";"BU02431103";"1";1,7;3,4;25,2
"Overveld";"Harderwijk                              ";"Buurt     ";"BU02431104";"1";2,2;3,9;25,7
"Drielanden";"Harderwijk                              ";"Wijk      ";"WK024312  ";"1";2,2;3,3;28
"Muziekland I";"Harderwijk                              ";"Buurt     ";"BU02431201";"1";2,2;2,6;27,4
"Muziekland II";"Harderwijk                              ";"Buurt     ";"BU02431202";"1";2,7;2,8;27,4
"Muziekland III";"Harderwijk                              ";"Buurt     ";"BU02431203";"1";2,8;3,3;27,9
"Muziekland IV";"Harderwijk                              ";"Buurt     ";"BU02431204";"1";1,6;2,7;27,7
"Drielanden Centrum";"Harderwijk                              ";"Buurt     ";"BU02431205";"1";2,4;3,3;28
"Harderhout I";"Harderwijk                              ";"Buurt     ";"BU02431206";"1";2,4;3,5;28,1
"Harderhout II";"Harderwijk                              ";"Buurt     ";"BU02431207";"1";1,9;3,6;28,5
"Groene Zoom";"Harderwijk                              ";"Buurt     ";"BU02431210";"1";2;3;27,9
"Tonsel";"Harderwijk                              ";"Buurt     ";"BU02431211";"1";;;
"Weisteeg";"Harderwijk                              ";"Buurt     ";"BU02431212";"1";0,8;2,9;28,1
"Harderweide";"Harderwijk                              ";"Buurt     ";"BU02431213";"1";2,8;4,2;28
"Industrieterrein Lorentz";"Harderwijk                              ";"Wijk      ";"WK024313  ";"1";0,8;3,7;24
