"Fietsnetwerk naar wegtype ";"Perioden";"Regio's";"Lengte van fietsnetwerk  (km)"
"Totale fietsnetwerklengte";"2024";"Leiden";423,1
"Totale fietsnetwerklengte";"2025";"Leiden";422,8
"Totale fietsnetwerklengte";"2024";"Leiderdorp";132,5
"Totale fietsnetwerklengte";"2025";"Leiderdorp";132,5
"Totale fietsnetwerklengte";"2024";"Leidschendam-Voorburg";291,9
"Totale fietsnetwerklengte";"2025";"Leidschendam-Voorburg";292,2
"Totale fietsnetwerklengte";"2024";"Lelystad";851,1
"Totale fietsnetwerklengte";"2025";"Lelystad";848,2
"Totale fietsnetwerklengte";"2024";"Leudal";710,1
"Totale fietsnetwerklengte";"2025";"Leudal";708
"Totale fietsnetwerklengte";"2024";"Leusden";233,5
"Totale fietsnetwerklengte";"2025";"Leusden";234
"Totale fietsnetwerklengte";"2024";"Lingewaard";418,4
"Totale fietsnetwerklengte";"2025";"Lingewaard";421,1
"Totale fietsnetwerklengte";"2024";"Lisse";113,6
"Totale fietsnetwerklengte";"2025";"Lisse";113,6
"Totale fietsnetwerklengte";"2024";"Lochem";778,9
"Totale fietsnetwerklengte";"2025";"Lochem";778,5
"Totale fietsnetwerklengte";"2024";"Loon op Zand";218,4
"Totale fietsnetwerklengte";"2025";"Loon op Zand";216,6
"Totale fietsnetwerklengte";"2024";"Lopik";149,1
"Totale fietsnetwerklengte";"2025";"Lopik";150,5
"Totale fietsnetwerklengte";"2024";"Losser";393,9
"Totale fietsnetwerklengte";"2025";"Losser";393,9
"Totale fietsnetwerklengte";"2024";"Maasdriel";318,6
"Totale fietsnetwerklengte";"2025";"Maasdriel";315,5
"Totale fietsnetwerklengte";"2024";"Maasgouw";315,8
"Totale fietsnetwerklengte";"2025";"Maasgouw";315,9
"Totale fietsnetwerklengte";"2024";"Maashorst";684,2
"Totale fietsnetwerklengte";"2025";"Maashorst";686,4
"Totale fietsnetwerklengte";"2024";"Maassluis";148,1
"Totale fietsnetwerklengte";"2025";"Maassluis";151,6
"Totale fietsnetwerklengte";"2024";"Maastricht";630,4
"Totale fietsnetwerklengte";"2025";"Maastricht";630,4
"Totale fietsnetwerklengte";"2024";"Medemblik";433,9
"Totale fietsnetwerklengte";"2025";"Medemblik";435,2
"Totale fietsnetwerklengte";"2024";"Meerssen";190,8
"Totale fietsnetwerklengte";"2025";"Meerssen";190,4
"Totale fietsnetwerklengte";"2024";"Meierijstad";1009
"Totale fietsnetwerklengte";"2025";"Meierijstad";1011
"Totale fietsnetwerklengte";"2024";"Meppel";294,3
"Totale fietsnetwerklengte";"2025";"Meppel";294,2
"Totale fietsnetwerklengte";"2024";"Middelburg (Z.)";364,9
"Totale fietsnetwerklengte";"2025";"Middelburg (Z.)";365,3
"Totale fietsnetwerklengte";"2024";"Midden-Delfland";190,8
"Totale fietsnetwerklengte";"2025";"Midden-Delfland";194,1
"Totale fietsnetwerklengte";"2024";"Midden-Drenthe";817,4
"Totale fietsnetwerklengte";"2025";"Midden-Drenthe";818,3
"Totale fietsnetwerklengte";"2024";"Midden-Groningen";816,2
"Totale fietsnetwerklengte";"2025";"Midden-Groningen";816,9
"Totale fietsnetwerklengte";"2024";"Moerdijk";538,9
"Totale fietsnetwerklengte";"2025";"Moerdijk";541,7
"Totale fietsnetwerklengte";"2024";"Molenlanden";548,2
"Totale fietsnetwerklengte";"2025";"Molenlanden";552,2
"Totale fietsnetwerklengte";"2024";"Montferland";479,2
"Totale fietsnetwerklengte";"2025";"Montferland";479,2
"Totale fietsnetwerklengte";"2024";"Montfoort";99,6
"Totale fietsnetwerklengte";"2025";"Montfoort";99,6
"Totale fietsnetwerklengte";"2024";"Mook en Middelaar";103,2
"Totale fietsnetwerklengte";"2025";"Mook en Middelaar";103,3
"Totale fietsnetwerklengte";"2024";"Neder-Betuwe";271,3
"Totale fietsnetwerklengte";"2025";"Neder-Betuwe";270,2
"Totale fietsnetwerklengte";"2024";"Nederweert";375,5
"Totale fietsnetwerklengte";"2025";"Nederweert";373,9
"Totale fietsnetwerklengte";"2024";"Nieuwegein";356,2
"Totale fietsnetwerklengte";"2025";"Nieuwegein";359,5
"Totale fietsnetwerklengte";"2024";"Nieuwkoop";249,1
"Totale fietsnetwerklengte";"2025";"Nieuwkoop";249,4
"Totale fietsnetwerklengte";"2024";"Nijkerk";394,6
"Totale fietsnetwerklengte";"2025";"Nijkerk";402,2
"Totale fietsnetwerklengte";"2024";"Nijmegen";763,4
"Totale fietsnetwerklengte";"2025";"Nijmegen";762,8
"Totale fietsnetwerklengte";"2024";"Nissewaard";571,9
"Totale fietsnetwerklengte";"2025";"Nissewaard";573,8
"Totale fietsnetwerklengte";"2024";"Noardeast-Fryslân";951,4
"Totale fietsnetwerklengte";"2025";"Noardeast-Fryslân";952,9
"Totale fietsnetwerklengte";"2024";"Noord-Beveland";335
"Totale fietsnetwerklengte";"2025";"Noord-Beveland";334,8
"Totale fietsnetwerklengte";"2024";"Noordenveld";572
"Totale fietsnetwerklengte";"2025";"Noordenveld";572,2
"Totale fietsnetwerklengte";"2024";"Noordoostpolder";870
"Totale fietsnetwerklengte";"2025";"Noordoostpolder";871,2
"Totale fietsnetwerklengte";"2024";"Noordwijk";280,8
"Totale fietsnetwerklengte";"2025";"Noordwijk";280,8
