Model,Feature Set,Seed,Balanced Accuracy,Precision,Recall,F1 (positive),Macro-F1,PR-AUC,AUC-ROC,TP,TN,FP,FN
GAT-only,T+O+W,13,0.7798382322866186,0.3344240837696335,0.7947122861586314,0.4707508060801474,0.6614276620180631,0.3894999685717898,0.8403508872819624,511,3310,1017,132
GAT-only,T+O+W,21,0.7696179474175859,0.35893536121673003,0.7340590979782271,0.4821246169560776,0.6775443931685926,0.3629010806939686,0.8506155605099593,472,3484,843,171
GAT-only,T+O+W,37,0.7845935374143548,0.31560490940970193,0.8398133748055988,0.45879354290569246,0.6454262995308847,0.39080631961858536,0.8438449879432591,540,3156,1171,103
GAT-only,T+O+W,55,0.7671232138178266,0.29200652528548127,0.8351477449455676,0.43271555197421435,0.621962495751119,0.3442265949373771,0.8237406555315983,537,3025,1302,106
GAT-only,T+O+W,77,0.7495456033779722,0.30779054916985954,0.749611197511664,0.43639655952919876,0.6376782952865241,0.3230442044226761,0.8128576003473433,482,3243,1084,161
GAT-only,T+O+W,99,0.759871917120644,0.2902155887230514,0.8164852255054432,0.4282218597063622,0.6204944768617281,0.31724504366359363,0.8168981989827697,525,3043,1284,118
GAT-only,T+O+W,123,0.7568308652567103,0.301255230125523,0.7838258164852255,0.43523316062176165,0.631834838443095,0.3603789566965242,0.825565610127878,504,3158,1169,139
GAT-LSTM,T+O+W,42,0.8190983025164026,0.3980649619903248,0.8263988522238164,0.5373134328358209,0.710344936497854,0.4974670859020712,0.8851312390799438,576,3757,871,121
GAT-LSTM,T+O+W,1,0.8072189244186407,0.42652899126290705,0.7704447632711621,0.549079754601227,0.7238152396194542,0.5158232285572373,0.8842277187452336,537,3906,722,160
GAT-LSTM,T+O+W,7,0.8290033902550628,0.4482484076433121,0.8077474892395983,0.5765488991295443,0.7407293190600004,0.570930471792829,0.8937798615873189,563,3935,693,134
GAT-LSTM,T+O+W,13,0.8155246773119518,0.4222560975609756,0.7948350071736011,0.5515181682429069,0.723623914580891,0.4221746136025436,0.8716409008108587,554,3870,758,143
GAT-LSTM,T+O+W,21,0.8073398278087718,0.4131918119787718,0.7819225251076041,0.5406746031746031,0.7167120989002504,0.541117217834346,0.8890630793287444,545,3854,774,152
GAT-LSTM,T+O+W,37,0.7878418310849437,0.45864661654135336,0.7001434720229556,0.5542305508233958,0.7329595773579236,0.47167582274628544,0.8749412533527439,488,4052,576,209
