"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)"
"Oranjewijk";"Leeuwarden                              ";"Buurt     ";"BU00801102";"1";;;;;;;;;;;;;
"Achter de Hoven";"Leeuwarden                              ";"Buurt     ";"BU00801103";"1";;;;;;;;;;;;;
"Schepenbuurt";"Leeuwarden                              ";"Buurt     ";"BU00801104";"1";;;;;;;;;;;;;
"Wielenpôlle";"Leeuwarden                              ";"Buurt     ";"BU00801105";"1";;;;;;;;;;;;;
"Huizum-Dorp";"Leeuwarden                              ";"Buurt     ";"BU00801106";"1";;;;;;;;;;;;;
"Huizum-Sixma";"Leeuwarden                              ";"Buurt     ";"BU00801107";"1";;;;;;;;;;;;;
"Huizum-Bornia";"Leeuwarden                              ";"Buurt     ";"BU00801108";"1";;;;;;;;;;;;;
"Huizum-Badweg";"Leeuwarden                              ";"Buurt     ";"BU00801109";"1";;;;;;;;;;;;;
"Oud-Oost";"Leeuwarden                              ";"Wijk      ";"WK008020  ";"1";;;;;;;;;;;;;
"Oldegalileën";"Leeuwarden                              ";"Buurt     ";"BU00802001";"1";;;;;;;;;;;;;
"Bloemenbuurt";"Leeuwarden                              ";"Buurt     ";"BU00802002";"1";;;;;;;;;;;;;
"Cambuursterpad";"Leeuwarden                              ";"Buurt     ";"BU00802003";"1";;;;;;;;;;;;;
"Zamenhofpark";"Leeuwarden                              ";"Buurt     ";"BU00802004";"1";;;;;;;;;;;;;
"Cambuur";"Leeuwarden                              ";"Buurt     ";"BU00802005";"1";;;;;;;;;;;;;
"Zeeheldenbuurt";"Leeuwarden                              ";"Buurt     ";"BU00802006";"1";;;;;;;;;;;;;
"Indische buurt";"Leeuwarden                              ";"Buurt     ";"BU00802007";"1";;;;;;;;;;;;;
"Molenpad";"Leeuwarden                              ";"Buurt     ";"BU00802008";"1";;;;;;;;;;;;;
"Welgelegen";"Leeuwarden                              ";"Buurt     ";"BU00802009";"1";;;;;;;;;;;;;
"Sonnenborgh e.o.";"Leeuwarden                              ";"Wijk      ";"WK008030  ";"1";;;;;;;;;;;;;
"Transvaalwijk";"Leeuwarden                              ";"Buurt     ";"BU00803001";"1";;;;;;;;;;;;;
"Bonifatius";"Leeuwarden                              ";"Buurt     ";"BU00803002";"1";;;;;;;;;;;;;
"Rengerspark";"Leeuwarden                              ";"Buurt     ";"BU00803003";"1";;;;;;;;;;;;;
"Vogelwijk";"Leeuwarden                              ";"Buurt     ";"BU00803004";"1";;;;;;;;;;;;;
"Sonnenborgh";"Leeuwarden                              ";"Buurt     ";"BU00803005";"1";;;;;;;;;;;;;
"Valeriuskwartier";"Leeuwarden                              ";"Buurt     ";"BU00803006";"1";;;;;;;;;;;;;
"Magere Weide";"Leeuwarden                              ";"Buurt     ";"BU00803007";"1";;;;;;;;;;;;;
"Westeinde e.o.";"Leeuwarden                              ";"Wijk      ";"WK008031  ";"1";;;;;;;;;;;;;
"Westeinde";"Leeuwarden                              ";"Buurt     ";"BU00803101";"1";;;;;;;;;;;;;
"Buitengebied Noordwest";"Leeuwarden                              ";"Buurt     ";"BU00803102";"1";;;;;;;;;;;;;
"Vossepark & Helicon";"Leeuwarden                              ";"Wijk      ";"WK008032  ";"1";;;;;;;;;;;;;
"Vossepark";"Leeuwarden                              ";"Buurt     ";"BU00803201";"1";;;;;;;;;;;;;
"Helicon";"Leeuwarden                              ";"Buurt     ";"BU00803202";"1";;;;;;;;;;;;;
"Harlingervaart Noord";"Leeuwarden                              ";"Buurt     ";"BU00803203";"1";;;;;;;;;;;;;
"Huizum-West";"Leeuwarden                              ";"Wijk      ";"WK008040  ";"1";;;;;;;;;;;;;
"Hollanderwijk";"Leeuwarden                              ";"Buurt     ";"BU00804001";"1";;;;;;;;;;;;;
"Gerard Dou";"Leeuwarden                              ";"Buurt     ";"BU00804002";"1";;;;;;;;;;;;;
"Julianapark";"Leeuwarden                              ";"Buurt     ";"BU00804003";"1";;;;;;;;;;;;;
"Jan van Scorelbuurt";"Leeuwarden                              ";"Buurt     ";"BU00804004";"1";;;;;;;;;;;;;
"Nijlân & De Zwette";"Leeuwarden                              ";"Wijk      ";"WK008041  ";"1";;;;;;;;;;;;;
"Nijlân";"Leeuwarden                              ";"Buurt     ";"BU00804101";"1";;;;;;;;;;;;;
"De Zwette I Harlingervaart";"Leeuwarden                              ";"Buurt     ";"BU00804102";"1";;;;;;;;;;;;;
"De Zwette II Zwettehaven";"Leeuwarden                              ";"Buurt     ";"BU00804103";"1";;;;;;;;;;;;;
"De Zwette III Schenkenschans";"Leeuwarden                              ";"Buurt     ";"BU00804104";"1";;;;;;;;;;;;;
"De Zwette IV Businesspark";"Leeuwarden                              ";"Buurt     ";"BU00804105";"1";;;;;;;;;;;;;
"De Zwette V Newton";"Leeuwarden                              ";"Buurt     ";"BU00804106";"1";;;;;;;;;;;;;
"De Zwette VI Deinumerpolder";"Leeuwarden                              ";"Buurt     ";"BU00804107";"1";;;;;;;;;;;;;
"EnergieCampus Sylsterrak";"Leeuwarden                              ";"Buurt     ";"BU00804108";"1";;;;;;;;;;;;;
"Buitengebied De Zwette";"Leeuwarden                              ";"Buurt     ";"BU00804109";"1";;;;;;;;;;;;;
"Buitengebied West";"Leeuwarden                              ";"Buurt     ";"BU00804110";"1";;;;;;;;;;;;;
"Heechterp & Schieringen";"Leeuwarden                              ";"Wijk      ";"WK008050  ";"1";;;;;;;;;;;;;
"Heechterp";"Leeuwarden                              ";"Buurt     ";"BU00805001";"1";;;;;;;;;;;;;
"Schieringen";"Leeuwarden                              ";"Buurt     ";"BU00805002";"1";;;;;;;;;;;;;
"De Centrale";"Leeuwarden                              ";"Buurt     ";"BU00805003";"1";;;;;;;;;;;;;
"Camminghaburen e.o.";"Leeuwarden                              ";"Wijk      ";"WK008051  ";"1";;;;;;;;;;;;;
"Camminghaburen-Noord";"Leeuwarden                              ";"Buurt     ";"BU00805101";"1";;;;;;;;;;;;;
"Camminghaburen-Midden";"Leeuwarden                              ";"Buurt     ";"BU00805102";"1";;;;;;;;;;;;;
"Camminghaburen-Zuid";"Leeuwarden                              ";"Buurt     ";"BU00805103";"1";;;;;;;;;;;;;
"Grote Wielen";"Leeuwarden                              ";"Buurt     ";"BU00805104";"1";;;;;;;;;;;;;
"De Groene Ster";"Leeuwarden                              ";"Buurt     ";"BU00805105";"1";;;;;;;;;;;;;
"Bilgaard & Havankpark e.o.";"Leeuwarden                              ";"Wijk      ";"WK008060  ";"1";;;;;;;;;;;;;
"Bilgaard";"Leeuwarden                              ";"Buurt     ";"BU00806001";"1";;;;;;;;;;;;;
"Havankpark";"Leeuwarden                              ";"Buurt     ";"BU00806002";"1";;;;;;;;;;;;;
"Vierhuisterweg e.o.";"Leeuwarden                              ";"Buurt     ";"BU00806003";"1";;;;;;;;;;;;;
"Vrijheidswijk";"Leeuwarden                              ";"Wijk      ";"WK008061  ";"1";;;;;;;;;;;;;
"Vrijheidswijk-West";"Leeuwarden                              ";"Buurt     ";"BU00806101";"1";;;;;;;;;;;;;
"Vrijheidswijk-Oost";"Leeuwarden                              ";"Buurt     ";"BU00806102";"1";;;;;;;;;;;;;
"Dokkumer Ie e.o.";"Leeuwarden                              ";"Wijk      ";"WK008062  ";"3";;;;;;;;;;;;;
"Lekkum";"Leeuwarden                              ";"Buurt     ";"BU00806201";"1";;;;;;;;;;;;;
"Snakkerburen";"Leeuwarden                              ";"Buurt     ";"BU00806202";"1";;;;;;;;;;;;;
"Buitengebied Lekkum en Miedum";"Leeuwarden                              ";"Buurt     ";"BU00806203";"1";;;;;;;;;;;;;
"Blitsaerd";"Leeuwarden                              ";"Buurt     ";"BU00806204";"1";;;;;;;;;;;;;
"Jelsum";"Leeuwarden                              ";"Buurt     ";"BU00806205";"3";;;;;;;;;;;;;
"Buitengebied Jelsum";"Leeuwarden                              ";"Buurt     ";"BU00806206";"3";;;;;;;;;;;;;
"Koarnjum";"Leeuwarden                              ";"Buurt     ";"BU00806207";"3";;;;;;;;;;;;;
"Buitengebied Koarnjum";"Leeuwarden                              ";"Buurt     ";"BU00806208";"3";;;;;;;;;;;;;
"Britsum";"Leeuwarden                              ";"Buurt     ";"BU00806209";"3";;;;;;;;;;;;;
"Buitengebied Britsum";"Leeuwarden                              ";"Buurt     ";"BU00806210";"3";;;;;;;;;;;;;
"Stiens e.o.";"Leeuwarden                              ";"Wijk      ";"WK008063  ";"3";;;;;;;;;;;;;
"Stiens";"Leeuwarden                              ";"Buurt     ";"BU00806301";"3";;;;;;;;;;;;;
"Buitengebied Stiens";"Leeuwarden                              ";"Buurt     ";"BU00806302";"3";;;;;;;;;;;;;
"Feinsum";"Leeuwarden                              ";"Buurt     ";"BU00806303";"1";;;;;;;;;;;;;
"Buitengebied Feinsum";"Leeuwarden                              ";"Buurt     ";"BU00806304";"1";;;;;;;;;;;;;
"Hijum";"Leeuwarden                              ";"Buurt     ";"BU00806305";"1";;;;;;;;;;;;;
"Buitengebied Hijum";"Leeuwarden                              ";"Buurt     ";"BU00806306";"1";;;;;;;;;;;;;
"Alde Leie";"Leeuwarden                              ";"Buurt     ";"BU00806307";"1";;;;;;;;;;;;;
"Aldlân & De Hemrik";"Leeuwarden                              ";"Wijk      ";"WK008070  ";"1";;;;;;;;;;;;;
"Aldlân-Oost";"Leeuwarden                              ";"Buurt     ";"BU00807001";"1";;;;;;;;;;;;;
"Aldlân-West";"Leeuwarden                              ";"Buurt     ";"BU00807002";"1";;;;;;;;;;;;;
"Rapenburg";"Leeuwarden                              ";"Buurt     ";"BU00807003";"1";;;;;;;;;;;;;
"Hemrik";"Leeuwarden                              ";"Buurt     ";"BU00807004";"1";;;;;;;;;;;;;
"Goutum";"Leeuwarden                              ";"Wijk      ";"WK008071  ";"1";;;;;;;;;;;;;
"Goutum";"Leeuwarden                              ";"Buurt     ";"BU00807101";"1";;;;;;;;;;;;;
"Hempens/Teerns & Zuiderburen";"Leeuwarden                              ";"Wijk      ";"WK008072  ";"1";;;;;;;;;;;;;
"Hempens/Teerns";"Leeuwarden                              ";"Buurt     ";"BU00807201";"1";;;;;;;;;;;;;
"Buitengebied Hempens";"Leeuwarden                              ";"Buurt     ";"BU00807202";"3";;;;;;;;;;;;;
"Zuiderburen";"Leeuwarden                              ";"Buurt     ";"BU00807203";"3";;;;;;;;;;;;;
"De Zuidlanden";"Leeuwarden                              ";"Wijk      ";"WK008073  ";"1";;;;;;;;;;;;;
"Techum";"Leeuwarden                              ";"Buurt     ";"BU00807301";"1";;;;;;;;;;;;;
"Wiarda";"Leeuwarden                              ";"Buurt     ";"BU00807302";"1";;;;;;;;;;;;;
"De Werp";"Leeuwarden                              ";"Buurt     ";"BU00807303";"1";;;;;;;;;;;;;
"De Zuidlanden";"Leeuwarden                              ";"Buurt     ";"BU00807304";"1";;;;;;;;;;;;;
"De Klamp";"Leeuwarden                              ";"Buurt     ";"BU00807305";"1";;;;;;;;;;;;;
"Middelsee";"Leeuwarden                              ";"Wijk      ";"WK008074  ";"1";;;;;;;;;;;;;
"Middelsee";"Leeuwarden                              ";"Buurt     ";"BU00807401";"3";;;;;;;;;;;;;
"Barrahûs";"Leeuwarden                              ";"Buurt     ";"BU00807402";"1";;;;;;;;;;;;;
"Dorpen Zuid-Oost";"Leeuwarden                              ";"Wijk      ";"WK008080  ";"1";;;;;;;;;;;;;
"Wirdum";"Leeuwarden                              ";"Buurt     ";"BU00808001";"1";;;;;;;;;;;;;
"Swichum";"Leeuwarden                              ";"Buurt     ";"BU00808002";"3";;;;;;;;;;;;;
"Buitengebied Wirdum";"Leeuwarden                              ";"Buurt     ";"BU00808003";"3";;;;;;;;;;;;;
"Wergea";"Leeuwarden                              ";"Buurt     ";"BU00808004";"1";;;;;;;;;;;;;
"Buitengebied Wergea";"Leeuwarden                              ";"Buurt     ";"BU00808005";"1";;;;;;;;;;;;;
"Warstiens";"Leeuwarden                              ";"Buurt     ";"BU00808006";"1";;;;;;;;;;;;;
"Warten";"Leeuwarden                              ";"Buurt     ";"BU00808007";"1";;;;;;;;;;;;;
"Buitengebied Warten";"Leeuwarden                              ";"Buurt     ";"BU00808008";"1";;;;;;;;;;;;;
"Dorpen Zuid-West";"Leeuwarden                              ";"Wijk      ";"WK008081  ";"1";;;;;;;;;;;;;
"Wytgaard";"Leeuwarden                              ";"Buurt     ";"BU00808101";"1";;;;;;;;;;;;;
"Buitengebied Wytgaard";"Leeuwarden                              ";"Buurt     ";"BU00808102";"1";;;;;;;;;;;;;
"Mantgum";"Leeuwarden                              ";"Buurt     ";"BU00808103";"3";;;;;;;;;;;;;
"Buitengebied Mantgum";"Leeuwarden                              ";"Buurt     ";"BU00808104";"3";;;;;;;;;;;;;
"Weidum";"Leeuwarden                              ";"Buurt     ";"BU00808105";"3";;;;;;;;;;;;;
"Buitengebied Weidum";"Leeuwarden                              ";"Buurt     ";"BU00808106";"3";;;;;;;;;;;;;
"Jellum";"Leeuwarden                              ";"Buurt     ";"BU00808107";"1";;;;;;;;;;;;;
"Bears";"Leeuwarden                              ";"Buurt     ";"BU00808108";"1";;;;;;;;;;;;;
"Jorwert";"Leeuwarden                              ";"Buurt     ";"BU00808109";"3";;;;;;;;;;;;;
"Buitengebied Jorwert";"Leeuwarden                              ";"Buurt     ";"BU00808110";"3";;;;;;;;;;;;;
"Hilaard";"Leeuwarden                              ";"Buurt     ";"BU00808111";"3";;;;;;;;;;;;;
"Buitengebied Hilaard";"Leeuwarden                              ";"Buurt     ";"BU00808112";"3";;;;;;;;;;;;;
"Húns";"Leeuwarden                              ";"Buurt     ";"BU00808113";"1";;;;;;;;;;;;;
"Leons";"Leeuwarden                              ";"Buurt     ";"BU00808114";"1";;;;;;;;;;;;;
"Baard";"Leeuwarden                              ";"Buurt     ";"BU00808115";"1";;;;;;;;;;;;;
"Easterlittens";"Leeuwarden                              ";"Buurt     ";"BU00808116";"3";;;;;;;;;;;;;
"Buitengebied Easterlittens";"Leeuwarden                              ";"Buurt     ";"BU00808117";"3";;;;;;;;;;;;;
"Grou e.o.";"Leeuwarden                              ";"Wijk      ";"WK008082  ";"1";;;;;;;;;;;;;
"Reduzum";"Leeuwarden                              ";"Buurt     ";"BU00808201";"1";;;;;;;;;;;;;
"Buitengebied Reduzum";"Leeuwarden                              ";"Buurt     ";"BU00808202";"1";;;;;;;;;;;;;
"Eagum";"Leeuwarden                              ";"Buurt     ";"BU00808203";"1";;;;;;;;;;;;;
"Idaerd";"Leeuwarden                              ";"Buurt     ";"BU00808204";"1";;;;;;;;;;;;;
"Friens";"Leeuwarden                              ";"Buurt     ";"BU00808205";"3";;;;;;;;;;;;;
"Grou";"Leeuwarden                              ";"Buurt     ";"BU00808206";"1";;;;;;;;;;;;;
"Buitengebied Grou";"Leeuwarden                              ";"Buurt     ";"BU00808207";"1";;;;;;;;;;;;;
"Jirnsum";"Leeuwarden                              ";"Buurt     ";"BU00808208";"3";;;;;;;;;;;;;
"Buitengebied Jirnsum";"Leeuwarden                              ";"Buurt     ";"BU00808209";"1";;;;;;;;;;;;;
"Leiden";"Leiden                                  ";"Gemeente  ";"GM0546    ";"1";;;;;;;;;;;;;
"Binnenstad-Zuid";"Leiden                                  ";"Wijk      ";"WK054600  ";"1";;;;;;;;;;;;;
"Pieterswijk";"Leiden                                  ";"Buurt     ";"BU05460000";"1";;;;;;;;;;;;;
"Academiewijk";"Leiden                                  ";"Buurt     ";"BU05460001";"1";;;;;;;;;;;;;
"Levendaal-West";"Leiden                                  ";"Buurt     ";"BU05460002";"1";;;;;;;;;;;;;
"Levendaal-Oost";"Leiden                                  ";"Buurt     ";"BU05460003";"1";;;;;;;;;;;;;
"Binnenstad-Noord";"Leiden                                  ";"Wijk      ";"WK054601  ";"1";;;;;;;;;;;;;
"De Camp";"Leiden                                  ";"Buurt     ";"BU05460100";"1";;;;;;;;;;;;;
"Marewijk";"Leiden                                  ";"Buurt     ";"BU05460101";"1";;;;;;;;;;;;;
"Pancras-West";"Leiden                                  ";"Buurt     ";"BU05460102";"1";;;;;;;;;;;;;
"Pancras-Oost";"Leiden                                  ";"Buurt     ";"BU05460103";"1";;;;;;;;;;;;;
"d'Oude Morsch";"Leiden                                  ";"Buurt     ";"BU05460104";"1";;;;;;;;;;;;;
"Noordvest";"Leiden                                  ";"Buurt     ";"BU05460105";"1";;;;;;;;;;;;;
"Havenwijk-Noord";"Leiden                                  ";"Buurt     ";"BU05460106";"1";;;;;;;;;;;;;
"Havenwijk-Zuid";"Leiden                                  ";"Buurt     ";"BU05460107";"1";;;;;;;;;;;;;
"Molenbuurt";"Leiden                                  ";"Buurt     ";"BU05460108";"1";;;;;;;;;;;;;
"De Waard";"Leiden                                  ";"Buurt     ";"BU05460109";"1";;;;;;;;;;;;;
"Stationsdistrict";"Leiden                                  ";"Wijk      ";"WK054602  ";"1";;;;;;;;;;;;;
"Stationskwartier";"Leiden                                  ";"Buurt     ";"BU05460200";"1";;;;;;;;;;;;;
"Leiden-Noord";"Leiden                                  ";"Wijk      ";"WK054603  ";"1";;;;;;;;;;;;;
"Groenoord";"Leiden                                  ";"Buurt     ";"BU05460300";"1";;;;;;;;;;;;;
"Noorderkwartier";"Leiden                                  ";"Buurt     ";"BU05460301";"1";;;;;;;;;;;;;
"De Kooi";"Leiden                                  ";"Buurt     ";"BU05460302";"1";;;;;;;;;;;;;
"Roodenburgerdistrict";"Leiden                                  ";"Wijk      ";"WK054604  ";"1";;;;;;;;;;;;;
"Meerburg";"Leiden                                  ";"Buurt     ";"BU05460400";"1";;;;;;;;;;;;;
"Rijndijkbuurt";"Leiden                                  ";"Buurt     ";"BU05460401";"1";;;;;;;;;;;;;
"Professorenwijk-Oost";"Leiden                                  ";"Buurt     ";"BU05460402";"1";;;;;;;;;;;;;
"Burgemeesterswijk";"Leiden                                  ";"Buurt     ";"BU05460403";"1";;;;;;;;;;;;;
"Professorenwijk-West";"Leiden                                  ";"Buurt     ";"BU05460404";"1";;;;;;;;;;;;;
"Tuinstadwijk";"Leiden                                  ";"Buurt     ";"BU05460405";"1";;;;;;;;;;;;;
"Cronestein";"Leiden                                  ";"Buurt     ";"BU05460406";"1";;;;;;;;;;;;;
"Klein Cronestein";"Leiden                                  ";"Buurt     ";"BU05460407";"1";;;;;;;;;;;;;
"Roomburg";"Leiden                                  ";"Buurt     ";"BU05460408";"1";;;;;;;;;;;;;
"Waardeiland";"Leiden                                  ";"Buurt     ";"BU05460409";"1";;;;;;;;;;;;;
"Bos- en Gasthuisdistrict";"Leiden                                  ";"Wijk      ";"WK054605  ";"1";;;;;;;;;;;;;
"Vreewijk";"Leiden                                  ";"Buurt     ";"BU05460500";"1";;;;;;;;;;;;;
"Haagweg-Noord";"Leiden                                  ";"Buurt     ";"BU05460501";"1";;;;;;;;;;;;;
"Gasthuiswijk";"Leiden                                  ";"Buurt     ";"BU05460502";"1";;;;;;;;;;;;;
"Fortuinwijk-Noord";"Leiden                                  ";"Buurt     ";"BU05460503";"1";;;;;;;;;;;;;
"Boshuizen";"Leiden                                  ";"Buurt     ";"BU05460504";"1";;;;;;;;;;;;;
"Oostvliet";"Leiden                                  ";"Buurt     ";"BU05460505";"1";;;;;;;;;;;;;
"Haagweg-Zuid";"Leiden                                  ";"Buurt     ";"BU05460506";"1";;;;;;;;;;;;;
"Fortuinwijk-Zuid";"Leiden                                  ";"Buurt     ";"BU05460507";"1";;;;;;;;;;;;;
"Morsdistrict";"Leiden                                  ";"Wijk      ";"WK054606  ";"1";;;;;;;;;;;;;
"Transvaalbuurt";"Leiden                                  ";"Buurt     ";"BU05460600";"1";;;;;;;;;;;;;
"Lage Mors";"Leiden                                  ";"Buurt     ";"BU05460601";"1";;;;;;;;;;;;;
"Hoge Mors";"Leiden                                  ";"Buurt     ";"BU05460602";"1";;;;;;;;;;;;;
"Boerhaavedistrict";"Leiden                                  ";"Wijk      ";"WK054607  ";"1";;;;;;;;;;;;;
"Pesthuiswijk";"Leiden                                  ";"Buurt     ";"BU05460700";"1";;;;;;;;;;;;;
"Houtkwartier";"Leiden                                  ";"Buurt     ";"BU05460701";"1";;;;;;;;;;;;;
"Raadsherenbuurt";"Leiden                                  ";"Buurt     ";"BU05460702";"1";;;;;;;;;;;;;
"Vogelwijk";"Leiden                                  ";"Buurt     ";"BU05460703";"1";;;;;;;;;;;;;
"Leeuwenhoek";"Leiden                                  ";"Buurt     ";"BU05460704";"1";;;;;;;;;;;;;
"Merenwijkdistrict";"Leiden                                  ";"Wijk      ";"WK054608  ";"1";;;;;;;;;;;;;
"Slaaghwijk";"Leiden                                  ";"Buurt     ";"BU05460800";"1";;;;;;;;;;;;;
"Zijlwijk-Zuid";"Leiden                                  ";"Buurt     ";"BU05460801";"1";;;;;;;;;;;;;
"Zijlwijk-Noord";"Leiden                                  ";"Buurt     ";"BU05460802";"1";;;;;;;;;;;;;
"Merenwijk-Centrum";"Leiden                                  ";"Buurt     ";"BU05460803";"1";;;;;;;;;;;;;
"Leedewijk-Zuid";"Leiden                                  ";"Buurt     ";"BU05460804";"1";;;;;;;;;;;;;
"Leedewijk-Noord";"Leiden                                  ";"Buurt     ";"BU05460805";"1";;;;;;;;;;;;;
"Stevenshofdistrict";"Leiden                                  ";"Wijk      ";"WK054609  ";"1";;;;;;;;;;;;;
"Schenkwijk";"Leiden                                  ";"Buurt     ";"BU05460900";"1";;;;;;;;;;;;;
"Kloosterhof";"Leiden                                  ";"Buurt     ";"BU05460901";"1";;;;;;;;;;;;;
"Dobbewijk-Noord";"Leiden                                  ";"Buurt     ";"BU05460902";"1";;;;;;;;;;;;;
"Dobbewijk-Zuid";"Leiden                                  ";"Buurt     ";"BU05460903";"1";;;;;;;;;;;;;
"Leiderdorp";"Leiderdorp                              ";"Gemeente  ";"GM0547    ";"1";;;;;;;;;;;;;
"Wijk 00";"Leiderdorp                              ";"Wijk      ";"WK054700  ";"1";;;;;;;;;;;;;
"Kerkwijk";"Leiderdorp                              ";"Buurt     ";"BU05470000";"1";;;;;;;;;;;;;
"Ouderzorg";"Leiderdorp                              ";"Buurt     ";"BU05470001";"1";;;;;;;;;;;;;
"Zijlkwartier";"Leiderdorp                              ";"Buurt     ";"BU05470002";"1";;;;;;;;;;;;;
"De Vogelwijk";"Leiderdorp                              ";"Buurt     ";"BU05470003";"1";;;;;;;;;;;;;
"De Baanderij";"Leiderdorp                              ";"Buurt     ";"BU05470004";"1";;;;;;;;;;;;;
"Schansen en Dreven";"Leiderdorp                              ";"Buurt     ";"BU05470005";"1";;;;;;;;;;;;;
"Winkelhof";"Leiderdorp                              ";"Buurt     ";"BU05470006";"1";;;;;;;;;;;;;
"Binnenhof";"Leiderdorp                              ";"Buurt     ";"BU05470007";"1";;;;;;;;;;;;;
"Voorhof";"Leiderdorp                              ";"Buurt     ";"BU05470008";"1";;;;;;;;;;;;;
"Elisabethhof";"Leiderdorp                              ";"Buurt     ";"BU05470009";"1";;;;;;;;;;;;;
"De Bloemerd";"Leiderdorp                              ";"Buurt     ";"BU05470010";"1";;;;;;;;;;;;;
"Wijk 01";"Leiderdorp                              ";"Wijk      ";"WK054701  ";"1";;;;;;;;;;;;;
"Oranjewijk";"Leiderdorp                              ";"Buurt     ";"BU05470100";"1";;;;;;;;;;;;;
"Doeskwartier";"Leiderdorp                              ";"Buurt     ";"BU05470101";"1";;;;;;;;;;;;;
"t Heerlijk Recht";"Leiderdorp                              ";"Buurt     ";"BU05470102";"1";;;;;;;;;;;;;
"Buitengebied";"Leiderdorp                              ";"Buurt     ";"BU05470103";"1";;;;;;;;;;;;;
"Wijk 02";"Leiderdorp                              ";"Wijk      ";"WK054702  ";"1";;;;;;;;;;;;;
"Boterhuispolder";"Leiderdorp                              ";"Buurt     ";"BU05470200";"1";;;;;;;;;;;;;
"Buitenhof-Oost-Zuid";"Leiderdorp                              ";"Buurt     ";"BU05470201";"1";;;;;;;;;;;;;
"Buitenhof-Midden-West";"Leiderdorp                              ";"Buurt     ";"BU05470202";"1";;;;;;;;;;;;;
"Leyhof";"Leiderdorp                              ";"Buurt     ";"BU05470203";"1";;;;;;;;;;;;;
"Driegatenbrug";"Leiderdorp                              ";"Buurt     ";"BU05470204";"1";;;;;;;;;;;;;
"Leidschendam-Voorburg";"Leidschendam-Voorburg                   ";"Gemeente  ";"GM1916    ";"1";;;;;;;;;;;;;
"De Zijde / Duivenvoorde / Park Veursehou";"Leidschendam-Voorburg                   ";"Wijk      ";"WK191601  ";"1";;;;;;;;;;;;;
"De Zijde";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160100";"1";;;;;;;;;;;;;
"Duivenvoorde";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160101";"1";;;;;;;;;;;;;
"Park Veursehout";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160102";"1";;;;;;;;;;;;;
"Leidsenhage";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160103";"1";;;;;;;;;;;;;
"Schakenbosch en het Buitengebied";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160104";"1";;;;;;;;;;;;;
"Prinsenhof";"Leidschendam-Voorburg                   ";"Wijk      ";"WK191602  ";"1";;;;;;;;;;;;;
"Prinsenhof hoog";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160200";"1";;;;;;;;;;;;;
"Prinsenhof laag";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160201";"1";;;;;;;;;;;;;
"'t Lien / De Rietvink";"Leidschendam-Voorburg                   ";"Wijk      ";"WK191603  ";"1";;;;;;;;;;;;;
"'t Lien zuid";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160300";"1";;;;;;;;;;;;;
"De Rietvink / Veursestraatweg";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160301";"1";;;;;;;;;;;;;
"'t Lien noord";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160302";"1";;;;;;;;;;;;;
"Stompwijk";"Leidschendam-Voorburg                   ";"Wijk      ";"WK191604  ";"1";;;;;;;;;;;;;
"Kern Stompwijk";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160400";"1";;;;;;;;;;;;;
"Landelijk gebied Stompwijk";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160401";"1";;;;;;;;;;;;;
"Leidschendam - Zuid en omgeving";"Leidschendam-Voorburg                   ";"Wijk      ";"WK191605  ";"1";;;;;;;;;;;;;
"Damcentrum";"Leidschendam-Voorburg                   ";"Buurt     ";"BU19160500";"1";;;;;;;;;;;;;
