"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Mook";"Mook en Middelaar                       ";"Buurt     ";"BU09440001";"1";0,6;1,7;2,8;12,8;0,6;0,9;4;27,6;3,5;2,2;3,9;11,9
"Verspreide huizen Bisselt";"Mook en Middelaar                       ";"Buurt     ";"BU09440009";"1";2,1;0;4;11,4;1,8;0;6,6;22,9;3,3;1,6;4;11,8
"Wijk 01 Middelaar";"Mook en Middelaar                       ";"Wijk      ";"WK094401  ";"1";2,8;0;0,7;8,4;2,8;0;1,2;13,2;3,9;0,9;4;11,1
"Riethorst-Plasmolen";"Mook en Middelaar                       ";"Buurt     ";"BU09440100";"1";2,7;0;1;6,9;2,7;0;0,8;11,5;4,6;0,8;4;11,2
"Middelaar Katerbosch en Heikant";"Mook en Middelaar                       ";"Buurt     ";"BU09440101";"1";2,9;0;0,7;9;2,8;0;1,3;13,9;3,6;1;4;11,1
"Neder-Betuwe";"Neder-Betuwe                            ";"Gemeente  ";"GM1740    ";"1";1,2;0,9;1,5;4,8;0,9;2,4;4,4;14,5;5,9;0,5;2,9;14,5
"Wijk 00 Kesteren";"Neder-Betuwe                            ";"Wijk      ";"WK174000  ";"1";0,9;1;1,5;6,5;0,8;3,6;6;21,2;5,4;0,8;3,4;15
"Kesteren";"Neder-Betuwe                            ";"Buurt     ";"BU17400000";"1";0,7;0,8;1;9,7;0,6;4;6,9;31,7;4;1,8;3;14,4
"Opheusden";"Neder-Betuwe                            ";"Buurt     ";"BU17400001";"1";0,7;1,6;2;3,9;0,7;4,4;5,1;11,7;6,9;0;4;16
"Verspreide huizen Lede en Oudewaard";"Neder-Betuwe                            ";"Buurt     ";"BU17400006";"1";2,1;0,1;0,7;5,9;1,6;0,8;4,8;23,1;3,4;1,5;2,4;13,5
"Verspreide huizen Kesteren";"Neder-Betuwe                            ";"Buurt     ";"BU17400007";"1";1,1;0,4;1,2;7,7;1;2,7;6,5;26,2;4,6;0,9;3;13,9
"Verspreide huizen Opheusden";"Neder-Betuwe                            ";"Buurt     ";"BU17400008";"1";1,9;0;2,1;3,4;1,8;0;6,3;11,3;6,2;0,1;3,9;14,8
"Verspreide huizen poldergebied";"Neder-Betuwe                            ";"Buurt     ";"BU17400009";"1";1,9;0;1,9;4,9;1,8;0,1;7,2;16,4;5,4;0,4;2,9;14
"Wijk 01 Echteld";"Neder-Betuwe                            ";"Wijk      ";"WK174001  ";"1";1,7;0,8;1,8;2,9;1;1,3;3,4;7,8;6,6;0,1;3;13,2
"Ochten";"Neder-Betuwe                            ";"Buurt     ";"BU17400100";"1";0,8;1,3;2,2;3;0,5;2,1;4,5;8,3;6,8;0;2,7;13
"Echteld";"Neder-Betuwe                            ";"Buurt     ";"BU17400101";"1";4,3;0;0;2;0,2;1;1;7,1;4,7;1;3;13
"IJzendoorn";"Neder-Betuwe                            ";"Buurt     ";"BU17400102";"1";2,8;0;1,6;2;2,7;0;2,2;4;6,7;0;4;14
"Pottemsestraat en Groenestraat e.o.";"Neder-Betuwe                            ";"Buurt     ";"BU17400103";"1";1,8;0;2;3;1,7;0;3;9;7,6;0;3,7;14
"Verspreide huizen Echteld-Waalbandijk";"Neder-Betuwe                            ";"Buurt     ";"BU17400106";"1";4,3;0;0;3,5;2,1;0;0,8;10,6;4,7;0,9;3;11
"Verspreide huizen Echteld";"Neder-Betuwe                            ";"Buurt     ";"BU17400107";"1";4,1;0;0;2,6;1,9;0,3;0,9;9;4,6;0,6;3,2;12,3
"Verspreide huizen IJzendoorn";"Neder-Betuwe                            ";"Buurt     ";"BU17400108";"1";3;0;1,2;2,1;2,4;0;1,9;4,8;6,8;0;3,9;14
"Verspreide huizen Ochten";"Neder-Betuwe                            ";"Buurt     ";"BU17400109";"1";2,2;0;1,7;4,1;2;0,1;2,7;9,7;7,7;0;2,8;13,9
"Wijk 02 Dodewaard";"Neder-Betuwe                            ";"Wijk      ";"WK174002  ";"1";1;0,7;1;3;1;0,7;1,1;5,7;6,5;0,1;1,2;15,1
"Kom Dodewaard met Hien";"Neder-Betuwe                            ";"Buurt     ";"BU17400200";"1";0,6;0,9;1;3;0,6;0,9;1;6;6,5;0;1;15,2
"Kom Wely";"Neder-Betuwe                            ";"Buurt     ";"BU17400201";"1";2,8;0;1,2;3,1;2,9;0;1;2,1;5,2;0,2;1;16
"Verspreide huizen Dodewaard-Oost en Wely";"Neder-Betuwe                            ";"Buurt     ";"BU17400208";"1";2,6;0;0,9;3,7;2,8;0;1;5,3;4,9;0,5;1,5;15,7
"Verspreide huizen Dodewaard-West";"Neder-Betuwe                            ";"Buurt     ";"BU17400209";"1";1,8;0,1;1,2;2,8;1,7;0,1;1,7;5,5;7,6;0;1,9;13,6
"Nederweert";"Nederweert                              ";"Gemeente  ";"GM0946    ";"1";1,5;1;2,3;4,4;0,8;2,1;6,1;11,5;2,5;0,9;2;7,7
"Wijk 01 Nederweert";"Nederweert                              ";"Wijk      ";"WK094601  ";"1";1;1,6;2,8;5,1;0,8;3,2;7,5;13;1,4;1;2;8
"Nederweert";"Nederweert                              ";"Buurt     ";"BU09460101";"1";0,8;1,9;3;5;0,5;3,7;8;12,4;1,1;1;2;8
"Boeket-Hoogbosweg";"Nederweert                              ";"Buurt     ";"BU09460102";"1";2,8;0;1,9;4,5;2,6;0;3,9;11;3,3;0,9;2,1;7,3
"Bosserstraat-Lage Kuilen";"Nederweert                              ";"Buurt     ";"BU09460103";"1";2,8;0;2;3,5;2,1;0;4,6;9;3,1;0,9;2,1;8,1
"Schoor-Mildert";"Nederweert                              ";"Buurt     ";"BU09460104";"1";2,7;0;1,5;9,3;2,2;0;4,7;29,1;3,3;1,4;2,1;8,4
"Wijk 02 Budschop";"Nederweert                              ";"Wijk      ";"WK094602  ";"1";1,3;0,7;3,7;4,2;0,9;1,9;9,4;10,6;1,7;1;2;7,7
"Budschop";"Nederweert                              ";"Buurt     ";"BU09460201";"1";1,1;0,8;3,9;4,3;0,6;2,1;9,9;10,8;1,4;1;2;7,6
"Winnerstraat-Eindhovensebaan";"Nederweert                              ";"Buurt     ";"BU09460202";"1";2,7;0;2,3;3,5;2,4;0;5,4;9,8;3,6;0,8;2;8,2
"Wijk 03 Ospel";"Nederweert                              ";"Wijk      ";"WK094603  ";"1";1,3;0,6;1,1;3,3;0,8;0,7;2,6;9,4;4,5;0,8;1,8;7
"Ospel";"Nederweert                              ";"Buurt     ";"BU09460301";"1";0,5;1;1,3;4;0,5;1;2,9;11,4;3,7;1;2;7
"Ospeldijk";"Nederweert                              ";"Buurt     ";"BU09460302";"1";3,3;0;0,2;1;0,7;0,9;1,2;2,1;6,9;0;1;6,5
"Nieuwstraat-Horick-Kampersweg";"Nederweert                              ";"Buurt     ";"BU09460303";"1";1,9;0;1;2,9;1,9;0;1,9;8,6;4,7;0,5;1,6;7,3
"Waatskamp-Bientjesweg";"Nederweert                              ";"Buurt     ";"BU09460304";"1";1,6;0,1;1,6;3,6;1,5;0,1;3,9;10,4;4,1;0,8;1,8;6,9
"Moostdijk-Kruisvennendijk";"Nederweert                              ";"Buurt     ";"BU09460305";"1";3,3;0;0,5;1,2;1,6;0,2;1,4;3,1;7,1;0;1,1;6,6
"Wijk 04 Nederweert-Eind";"Nederweert                              ";"Wijk      ";"WK094604  ";"1";2,9;0;1,9;3,8;0,7;1,5;6,7;10,9;3,2;0,9;2,4;8,7
"Nederweert-Eind";"Nederweert                              ";"Buurt     ";"BU09460401";"1";2,6;0;2,2;4,1;0,5;1,7;7,4;11,4;2,9;1;2,4;8,8
"Wellenstein-Aan 't Kruis";"Nederweert                              ";"Buurt     ";"BU09460402";"1";4,6;0;0;2,1;2;0,1;2,1;7,9;5;0,6;2,7;8,2
"Wijk 05 Leveroy";"Nederweert                              ";"Wijk      ";"WK094605  ";"1";4;0;0;3,4;0,7;0,8;1,1;10,5;4,2;0,8;2,1;7,1
"Leveroy";"Nederweert                              ";"Buurt     ";"BU09460501";"1";3,9;0;0;3,9;0,5;1;1,1;11,6;3,9;1;2;7,1
"Deckerstraat-Bergdijk";"Nederweert                              ";"Buurt     ";"BU09460502";"1";4,6;0;0;1,5;1,6;0,2;1,1;6,7;5,4;0,3;2,3;7,2
"Nieuwegein";"Nieuwegein                              ";"Gemeente  ";"GM0356    ";"1";0,8;1,4;9,4;20,2;0,8;4,1;25,8;61,5;2,4;1,8;8,8;27,7
"Jutphaas Wijkersloot";"Nieuwegein                              ";"Wijk      ";"WK035601  ";"3";0,4;3,5;13;21;0,3;8,1;32;71,1;1;1,9;10,4;27,3
"Jutphaas";"Nieuwegein                              ";"Buurt     ";"BU03560101";"3";0,4;3,4;12,4;21,1;0,3;8,1;32,2;63,5;1,2;1,7;10,8;27,2
"Wijkersloot-Oost";"Nieuwegein                              ";"Buurt     ";"BU03560102";"3";0,4;3,6;13,2;20,9;0,4;9;31,4;74,9;0,8;2;10,2;27,1
"Wijkersloot-West";"Nieuwegein                              ";"Buurt     ";"BU03560103";"3";0,4;3,4;13,5;21,1;0,4;6,7;32,5;75;1;2;10,2;27,7
"Zuilenstein";"Nieuwegein                              ";"Wijk      ";"WK035602  ";"3";0,8;1,3;11,4;20,3;0,7;4,2;34;49,4;2;1,3;11,5;27,9
"Zuilenstein-Zuid";"Nieuwegein                              ";"Buurt     ";"BU03560201";"3";0,7;1,8;11,6;21;0,5;5,8;35,2;53,6;1,8;1,3;11,6;27,6
"Zuilenstein-Noord";"Nieuwegein                              ";"Buurt     ";"BU03560202";"3";1;0,9;11,2;19,7;0,9;2,9;33;45,7;2,2;1,2;11,4;28,1
"Batau Zuid";"Nieuwegein                              ";"Wijk      ";"WK035603  ";"3";0,6;1,5;12,9;22,3;1;3,7;34,8;78;1,5;2;9,5;28
"Driften-Zuid";"Nieuwegein                              ";"Buurt     ";"BU03560301";"1";1,1;0,4;13,4;23;1,3;0,1;34,3;80,4;1,4;2;8,4;27,6
"Driften-Noord";"Nieuwegein                              ";"Buurt     ";"BU03560302";"3";0,4;2,5;12,3;21,9;0,8;6,7;34,6;76,6;1,5;2;10;28,2
"Gaarden";"Nieuwegein                              ";"Buurt     ";"BU03560303";"3";0,5;1,5;13;22,2;1;3,4;35,3;77,7;1,5;2;9,7;28
"Batau Noord";"Nieuwegein                              ";"Wijk      ";"WK035604  ";"3";0,7;1,6;10,6;19,1;0,7;6,6;32,3;51,6;2,6;1,6;10,8;29
"Burgen";"Nieuwegein                              ";"Buurt     ";"BU03560401";"3";0,4;2,2;11,9;21,1;0,4;8,7;34,5;58,5;2,4;1,8;11;29
"Binnenweides";"Nieuwegein                              ";"Buurt     ";"BU03560402";"1";0,6;1,8;11;19,2;0,6;7,1;33,7;54,2;2,5;1,8;10,7;29
"Buitenweides";"Nieuwegein                              ";"Buurt     ";"BU03560403";"3";1;0,7;8,9;16,8;1;3,9;28,9;42,3;2,9;1,3;10,6;29
"Doorslag";"Nieuwegein                              ";"Wijk      ";"WK035605  ";"3";0,7;1;13,4;22,2;0,9;1,8;38,5;79,3;1,8;2;5,4;27,2
"Doorslag-Noord";"Nieuwegein                              ";"Buurt     ";"BU03560501";"1";0,9;1;14,2;22,7;0,8;4;35,7;79,8;1,4;2;6,1;27,2
"Doorslag-Oost";"Nieuwegein                              ";"Buurt     ";"BU03560502";"3";0,6;0,9;13,3;22;0,7;1;35,5;79,6;1,7;2;5,1;27,1
"Doorslag-Zuidwest";"Nieuwegein                              ";"Buurt     ";"BU03560503";"3";0,6;0,9;12,5;21,9;1,2;0,1;43,1;78,7;2,2;2;4,8;27,2
"Huis de Geer";"Nieuwegein                              ";"Wijk      ";"WK035606  ";"3";1,7;0;10,1;28,3;1,5;0;25,2;69,8;3;1,8;13,6;28,2
"Huis de Geer";"Nieuwegein                              ";"Buurt     ";"BU03560600";"3";1,7;0;10,1;28,3;1,5;0;25,2;69,8;3;1,8;13,6;28,2
"Blokhoeve";"Nieuwegein                              ";"Wijk      ";"WK035607  ";"3";0,6;1;8,4;29,4;1,7;0;23,1;74,5;3,5;2;13;28,3
"Blokhoeve";"Nieuwegein                              ";"Buurt     ";"BU03560700";"3";0,6;1;8,4;29,4;1,7;0;23,1;74,5;3,5;2;13;28,3
"Galecop";"Nieuwegein                              ";"Wijk      ";"WK035608  ";"3";0,6;1;5,6;19,5;0,6;3,9;16,5;48,4;3,9;1,2;10,8;27,7
"Hagen";"Nieuwegein                              ";"Buurt     ";"BU03560801";"3";0,8;0,9;6,7;16,1;0,8;2,7;18,8;39,3;3,7;1;10,4;27,4
"Hoven-Oost";"Nieuwegein                              ";"Buurt     ";"BU03560802";"1";0,5;1;4,8;25,5;0,4;5;15,4;63,9;4;1,8;12;28
"Hoven-West";"Nieuwegein                              ";"Buurt     ";"BU03560803";"1";0,6;1;5,1;17,9;0,6;4,1;15,3;44,4;4,1;1;10;27,7
"Galecopperzoom";"Nieuwegein                              ";"Buurt     ";"BU03560804";"3";1,2;0,5;3,6;17,8;1,2;0,8;14,6;46,2;4,6;1,1;10,9;27,6
"Fokkesteeg";"Nieuwegein                              ";"Wijk      ";"WK035610  ";"3";0,6;1,5;9,3;16,7;1,4;0,2;26,5;49,4;2,1;1,6;6,7;26,9
"Vesten";"Nieuwegein                              ";"Buurt     ";"BU03561001";"3";0,7;1,2;11;15,6;1,6;0;29,2;45,7;1,7;1,4;7,3;26,4
"Schansen";"Nieuwegein                              ";"Buurt     ";"BU03561002";"3";0,3;2;9,8;16,7;1,5;0;28,3;46,3;2;1,5;6,7;27
"Graven en Gravinnen";"Nieuwegein                              ";"Buurt     ";"BU03561003";"3";0,9;1,1;6,7;17,6;0,9;0,7;20,5;59,1;2,6;2;6;27,2
"Hoogzandveld";"Nieuwegein                              ";"Wijk      ";"WK035611  ";"3";0,8;0,9;4,7;22,6;0,5;7,4;10,6;80,1;3,4;3;3,6;28,1
"Hoogzandveld-Oost";"Nieuwegein                              ";"Buurt     ";"BU03561101";"3";0,7;1;5;22,8;0,4;7,6;11;80,3;3,3;3;3,9;28,1
"Hoogzandveld-West";"Nieuwegein                              ";"Buurt     ";"BU03561102";"3";0,9;0,7;4,3;22,5;0,6;7,2;10,1;79,9;3,6;3;3,2;28
"Lekboulevard";"Nieuwegein                              ";"Wijk      ";"WK035612  ";"3";0,6;1;3,4;19,1;0,6;7,1;8;59,7;3,7;3;3;27,8
"Lekboulevard";"Nieuwegein                              ";"Buurt     ";"BU03561200";"3";0,6;1;3,4;19,1;0,6;7,1;8;59,7;3,7;3;3;27,8
"Vreeswijk";"Nieuwegein                              ";"Wijk      ";"WK035613  ";"3";1,5;0;3,3;15,2;0,8;0,8;8;42,7;3,6;1,6;5,8;27,1
"Vreeswijk";"Nieuwegein                              ";"Buurt     ";"BU03561301";"3";1,5;0;3,3;15,4;0,7;0,9;8;45,3;3,7;1,7;5,8;27,1
"Nieuw Vreeswijk";"Nieuwegein                              ";"Buurt     ";"BU03561302";"3";1,6;0;3,1;14,8;0,9;0,7;8,1;36,7;3,5;1,4;5,9;27
"Merwestein";"Nieuwegein                              ";"Wijk      ";"WK035614  ";"3";0,7;1;13,2;19,7;0,9;1,7;34,6;70,7;0,9;2;9,3;26,7
"Merwestein";"Nieuwegein                              ";"Buurt     ";"BU03561400";"3";0,7;1;13,2;19,7;0,9;1,7;34,6;70,7;0,9;2;9,3;26,7
"Park Oudegein";"Nieuwegein                              ";"Wijk      ";"WK035615  ";"3";1,1;0,3;10,2;21,5;1,1;2,2;33,3;78;2,3;2,3;5,4;27,7
"Park Oudegein";"Nieuwegein                              ";"Buurt     ";"BU03561500";"3";1,1;0,3;10,2;21,5;1,1;2,2;33,3;78;2,3;2,3;5,4;27,7
"Zandveld";"Nieuwegein                              ";"Wijk      ";"WK035616  ";"3";0,8;0,8;4,6;20,1;0,4;5,2;9,5;72;3,2;2,7;5,2;28
"Zandveld";"Nieuwegein                              ";"Buurt     ";"BU03561600";"3";0,8;0,8;4,6;20,1;0,4;5,2;9,5;72;3,2;2,7;5,2;28
"Het Klooster";"Nieuwegein                              ";"Wijk      ";"WK035618  ";"3";3,5;0;0;7,1;3,3;0;0,1;17,2;5;0,4;6,3;27,9
"Het Klooster";"Nieuwegein                              ";"Buurt     ";"BU03561800";"3";3,5;0;0;7,1;3,3;0;0,1;17,2;5;0,4;6,3;27,9
"Laagraven";"Nieuwegein                              ";"Wijk      ";"WK035620  ";"3";2,5;0;4,7;25,6;2,7;0;7;74,4;4,1;1,6;14;28,7
"De Liesbosch";"Nieuwegein                              ";"Buurt     ";"BU03562001";"3";2,2;0;6;31;2,2;0;9;90,9;3,6;2;14;29
"Buitengebied Laagraven";"Nieuwegein                              ";"Buurt     ";"BU03562002";"3";3,6;0;0,1;5,6;4,2;0;0;13,5;5,8;0,1;13,8;27,7
"Plettenburg";"Nieuwegein                              ";"Wijk      ";"WK035621  ";"3";2,4;0;3,7;17,4;2,4;0;7,3;46,3;2,7;1;11,1;26,2
"Plettenburg";"Nieuwegein                              ";"Buurt     ";"BU03562100";"3";2,4;0;3,7;17,4;2,4;0;7,3;46,3;2,7;1;11,1;26,2
"De Wiers";"Nieuwegein                              ";"Wijk      ";"WK035622  ";"3";1,6;0;3,1;12,2;1,4;0;8,1;30,5;3,3;1;6,1;27
"De Wiers";"Nieuwegein                              ";"Buurt     ";"BU03562200";"3";1,6;0;3,1;12,2;1,4;0;8,1;30,5;3,3;1;6,1;27
"Hoge Landen";"Nieuwegein                              ";"Wijk      ";"WK035623  ";"3";1,5;0;7,3;20,8;1,5;0;31,3;73;2,8;2;3,5;27,3
"Hoge Landen";"Nieuwegein                              ";"Buurt     ";"BU03562300";"3";1,5;0;7,3;20,8;1,5;0;31,3;73;2,8;2;3,5;27,3
"Stadscentrum";"Nieuwegein                              ";"Wijk      ";"WK035624  ";"3";0,4;3,5;13;22;0,2;13,6;31,2;76;0,5;2;8,8;27
"Stadscentrum";"Nieuwegein                              ";"Buurt     ";"BU03562400";"3";0,4;3,5;13;22;0,2;13,6;31,2;76;0,5;2;8,8;27
"Rijnhuizen";"Nieuwegein                              ";"Wijk      ";"WK035625  ";"3";2,4;0;6;18,2;2,2;0;12,4;46,5;2,7;1;12,3;26,9
"Rijnhuizen";"Nieuwegein                              ";"Buurt     ";"BU03562500";"3";2,4;0;6;18,2;2,2;0;12,4;46,5;2,7;1;12,3;26,9
"Nieuwkoop";"Nieuwkoop                               ";"Gemeente  ";"GM0569    ";"1";1;1;1,8;3,4;0,9;3,1;5,8;11,1;3;0,8;3;16,4
"Kern Nieuwkoop";"Nieuwkoop                               ";"Wijk      ";"WK056901  ";"3";0,9;1;2;3,2;0,8;4,3;8,4;12,9;1,1;1;3,1;14
"Nieuwkoop";"Nieuwkoop                               ";"Buurt     ";"BU05690101";"3";0,8;1,1;2;3,2;0,7;4,6;8,4;13;1;1;3,1;14,1
"Nieuwkoop Nieuwkoopse Plassen";"Nieuwkoop                               ";"Buurt     ";"BU05690102";"3";;;;;;;;;;;;
"Nieuwkoop Lintbebouwing";"Nieuwkoop                               ";"Buurt     ";"BU05690103";"3";1,1;0,9;2;2,8;1,1;3,4;8,5;12,1;1,3;1;3;13,8
"Nieuwkoop Buitengebied West";"Nieuwkoop                               ";"Buurt     ";"BU05690104";"3";2,3;0;1,6;4,7;2;0;6,4;17,3;2,7;1,8;3,8;14
"Bedrijventerrein Nieuwkoop";"Nieuwkoop                               ";"Buurt     ";"BU05690105";"3";1,7;0;2,4;4,8;1,2;0,3;9,4;16,2;1,8;1;2;13,4
"Nieuwkoop Buitengebied Oost";"Nieuwkoop                               ";"Buurt     ";"BU05690106";"3";;;;;;;;;;;;
"Kern De Meije";"Nieuwkoop                               ";"Wijk      ";"WK056902  ";"3";4,3;0;0,1;1,1;4;0;0,2;5,3;7,1;0,3;1,2;12,1
"De Meije Nieuwkoopse Plassen";"Nieuwkoop                               ";"Buurt     ";"BU05690207";"3";4,3;0;0,1;1,1;4;0;0,2;5,3;7,1;0,3;1,2;12,1
"Kern Noorden";"Nieuwkoop                               ";"Wijk      ";"WK056903  ";"3";0,6;0,9;1,1;2,8;0,5;2,7;3,4;10,1;4,2;1;1,3;13
"De Kuil";"Nieuwkoop                               ";"Buurt     ";"BU05690308";"3";0,5;1;1;2,8;0,5;3;3;9,9;4,5;1;1,3;13,1
"Noorden Lintbebouwing";"Nieuwkoop                               ";"Buurt     ";"BU05690309";"3";0,7;0,7;1,2;2,7;0,6;2,2;4;10,2;3,8;0,9;1,3;12,8
"Kern Noordse Dorp";"Nieuwkoop                               ";"Wijk      ";"WK056904  ";"3";1,9;0;1;1;1,9;0;3;3,1;5,9;0;1;13,2
"Noordse Dorp";"Nieuwkoop                               ";"Buurt     ";"BU05690410";"3";1,3;0;1;1;1,3;0;3;3,3;5,3;0;1;14
"Noordse Buurt";"Nieuwkoop                               ";"Buurt     ";"BU05690411";"3";2,2;0;1;1;2,2;0;2,9;3;6,2;0;1;12,8
"Kern Woerdense Verlaat";"Nieuwkoop                               ";"Wijk      ";"WK056905  ";"3";3,3;0;0,2;1;3,3;0;0,6;3;7,2;0;1,8;15,9
"Woerdense Verlaat";"Nieuwkoop                               ";"Buurt     ";"BU05690512";"3";3,3;0;0,3;0,9;3,2;0;0,7;2,9;7,1;0;1,9;16,1
"Achttienhoven";"Nieuwkoop                               ";"Buurt     ";"BU05690513";"3";3,6;0;0,1;1,3;3,6;0;0,2;3,4;7,6;0;1,7;15,4
"Kern Zevenhoven";"Nieuwkoop                               ";"Wijk      ";"WK056906  ";"3";1,3;0,7;0,8;2,9;1,2;0,7;1,8;9,2;5,4;0,5;3,1;15
"Zevenhoven";"Nieuwkoop                               ";"Buurt     ";"BU05690614";"3";0,4;1;1;3,6;0,4;1;2,2;11,7;4,8;0,7;3;15,8
"Zevenhoven Buitengebied Oost";"Nieuwkoop                               ";"Buurt     ";"BU05690615";"3";2,6;0;0,7;2,3;2,3;0,1;1,6;5,7;6;0,1;3,6;15,3
"Zevenhoven Buitengebied West";"Nieuwkoop                               ";"Buurt     ";"BU05690616";"3";;;;;;;;;;;;
"Zevenhoven Recreatiegebied";"Nieuwkoop                               ";"Buurt     ";"BU05690617";"3";3,5;0;0,3;1,1;3,3;0;0,8;3,2;6,8;0;3,1;12,9
"Kern Noordeinde";"Nieuwkoop                               ";"Wijk      ";"WK056907  ";"3";1,3;0;2;2;1,3;0;4,2;6;5,9;0;3,1;15,7
"Noordeinde";"Nieuwkoop                               ";"Buurt     ";"BU05690718";"3";1,3;0;2;2;1,3;0;4,2;6;5,9;0;3,1;15,7
"Kern Vrouwenakker";"Nieuwkoop                               ";"Wijk      ";"WK056908  ";"3";1,6;0;1;10,3;1,6;0;3,5;30,6;3,7;1;3,8;22,9
"Vrouwenakker";"Nieuwkoop                               ";"Buurt     ";"BU05690819";"3";1,6;0;1;10,3;1,6;0;3,5;30,6;3,7;1;3,8;22,9
"Kern Nieuwveen";"Nieuwkoop                               ";"Wijk      ";"WK056909  ";"3";1,1;0,6;1,3;3,2;0,9;2;3,9;8,6;5,2;0,2;3,6;18,1
"Nieuwveen";"Nieuwkoop                               ";"Buurt     ";"BU05690920";"3";0,6;0,8;1,2;3,4;0,5;2,6;3,8;9,1;5,1;0,4;3,9;18,3
"Nieuwveen Buitengebied Oost";"Nieuwkoop                               ";"Buurt     ";"BU05690921";"3";1,1;0,5;1,5;3,1;1,1;1,4;3,4;8,8;6;0;4,8;18,5
"Nieuwveen Buitengebied West";"Nieuwkoop                               ";"Buurt     ";"BU05690922";"3";1,6;0;1,6;5,9;1,2;0;5,3;15,9;3,8;1;3,9;19,2
"Nieuwveen Buitengebied Zuid";"Nieuwkoop                               ";"Buurt     ";"BU05690923";"3";1,8;0;2;5,4;1,2;0,2;5;17,1;4;1,2;3;16,8
"Nieuwveen Buitengebied Vrouwenakker";"Nieuwkoop                               ";"Buurt     ";"BU05690924";"3";2,4;0;1,4;4,4;2,4;0;3,8;12,3;5,1;0,4;5;19,3
"Nieuwveens Jaagpad";"Nieuwkoop                               ";"Buurt     ";"BU05690925";"3";3,1;0;0,5;2,8;3;0;1,6;8,6;5,5;0,4;3,4;18,5
"Schoterveld";"Nieuwkoop                               ";"Buurt     ";"BU05690926";"3";0,9;0,7;1,5;3;0,8;2,1;4,3;8;5,2;0,1;3,3;17,8
"Schoterhoek";"Nieuwkoop                               ";"Buurt     ";"BU05690927";"3";;;;;;;;;;;;
"Kern Ter Aar";"Nieuwkoop                               ";"Wijk      ";"WK056910  ";"3";0,5;2,2;3;4;0,5;5,8;8,5;11,6;0,7;1;3,1;17,9
"Ter Aar Buitengebied";"Nieuwkoop                               ";"Buurt     ";"BU05691028";"3";1,1;0,7;3;4,5;1,1;1,5;8,5;13;1,1;1;3,1;17,2
"Aardam West";"Nieuwkoop                               ";"Buurt     ";"BU05691029";"3";0,5;2,2;3;4;0,5;6,1;8,4;11,3;0,7;1;3,1;18,1
"Aardam Oost";"Nieuwkoop                               ";"Buurt     ";"BU05691030";"3";0,4;2,8;3;3,8;0,5;6,7;8,9;12,5;0,5;1;3;17,1
"Bovenland";"Nieuwkoop                               ";"Buurt     ";"BU05691031";"3";2;0;3;4,9;1,6;0;8;13,9;1,8;1;3;19,1
"Kern Korteraar";"Nieuwkoop                               ";"Wijk      ";"WK056911  ";"3";1,6;0,1;2,5;4,3;0,7;0,8;7,5;13,5;2,2;1;2,9;14,6
"Korteraar";"Nieuwkoop                               ";"Buurt     ";"BU05691132";"3";1,6;0,1;2,6;4,2;0,7;0,9;7,7;13,2;2,1;1;2,9;14,7
"Korteraar Buitengebied Oost";"Nieuwkoop                               ";"Buurt     ";"BU05691133";"3";1,9;0;2;6,3;1,3;0,3;4,7;19,9;3,1;1,8;2,4;14,5
"Korteraar Buitengebied Zuid";"Nieuwkoop                               ";"Buurt     ";"BU05691134";"3";2,3;0;1,5;3;1,4;0;5,3;10,3;2,8;1;3;13
"Kern Langeraar";"Nieuwkoop                               ";"Wijk      ";"WK056912  ";"3";0,7;0,9;1;4,3;0,6;1,8;2,1;12,1;4,5;0,9;3;21,5
"Langeraar";"Nieuwkoop                               ";"Buurt     ";"BU05691235";"3";0,7;1;1;4,2;0,6;2;2;12;4,7;0,9;2,9;21,2
"Langeraar Lintbebouwing";"Nieuwkoop                               ";"Buurt     ";"BU05691236";"3";0,9;0,6;1,1;4,5;0,7;1,4;2,3;12,3;4;1;3,2;22,3
