"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Schenkel-Zuidwest";"Nissewaard                              ";"Buurt     ";"BU19300903";"1";0,5;1,7;8,7;16,2;1,2;0,9;1,2;1;2;17,4;1,2;1;1;6,3;;;;;
"Schenkel-Zuidoost";"Nissewaard                              ";"Buurt     ";"BU19300904";"1";0,7;1;7,2;14,8;1,8;1,5;1,8;1;2;16,3;1,8;1;1;6;;;;;
"Schenkel-Noordoost";"Nissewaard                              ";"Buurt     ";"BU19300905";"1";0,4;1,2;7;14,4;1,6;1,2;1,6;1;2;17;1,6;1;1;6;;;;;
"De Elementen";"Nissewaard                              ";"Wijk      ";"WK193010  ";"1";0,6;1,7;7,9;17,6;1,1;0,6;1,1;1;1,9;18,4;1,1;1;1;7;;;;;
"De Dijk";"Nissewaard                              ";"Buurt     ";"BU19301001";"1";0,7;1,5;7,8;17;1,1;0,7;1,1;1;2;18;1,1;1;1;7;;;;;
"Bedrijventerrein Haven-Noord";"Nissewaard                              ";"Buurt     ";"BU19301002";"1";1;1;7;18;1,5;1;1,5;1;1;19;1,5;1;1;7;;;;;
"De Haven";"Nissewaard                              ";"Buurt     ";"BU19301003";"1";0,6;1,5;7,5;17,7;1,2;0,6;1,2;1;1,9;18,8;1,2;1;1;7;;;;;
"Het Land";"Nissewaard                              ";"Buurt     ";"BU19301004";"1";0,5;2,2;8,4;18;0,9;0,5;0,9;1;2;18,5;0,9;1;1;7;;;;;
"Vogelenzang";"Nissewaard                              ";"Wijk      ";"WK193011  ";"1";0,5;1,6;6,5;14,1;3;0,9;3;1;2;14,3;3;1;1;5,6;;;;;
"Vogelenzang-Zuid";"Nissewaard                              ";"Buurt     ";"BU19301101";"1";0,5;1,9;6,1;14,2;3;0,7;3;1;2;14;3;1;1;5,4;;;;;
"Vogelenzang-Noord";"Nissewaard                              ";"Buurt     ";"BU19301102";"1";0,7;1;7,4;13,8;3,1;1,3;3,1;1;2;15;3,1;1;1;6;;;;;
"De Akkers";"Nissewaard                              ";"Wijk      ";"WK193012  ";"1";0,7;1,2;8,2;15;2,4;0,7;2,4;1;2;14,2;2,4;1;1;5,5;;;;;
"Gaarden";"Nissewaard                              ";"Buurt     ";"BU19301201";"1";0,6;0,9;9,5;15;2,2;0,6;2,2;1;2;14,8;2,2;1;1;5,8;;;;;
"Dreven";"Nissewaard                              ";"Buurt     ";"BU19301202";"1";0,9;1;10,4;15;1,8;0,9;1,8;1;2;15;1,8;1;1;6;;;;;
"Voorden";"Nissewaard                              ";"Buurt     ";"BU19301203";"1";0,4;2,5;8,5;15;2,1;0,4;2,1;1;2;15;2,1;1;1;6;;;;;
"Akkers-Centrum";"Nissewaard                              ";"Buurt     ";"BU19301204";"1";0,2;2,3;7,2;15;2,6;0,2;2,6;1;2;14;2,6;1;1;5,3;;;;;
"Donken";"Nissewaard                              ";"Buurt     ";"BU19301205";"1";0,8;1,2;7,1;15;2,7;0,8;2,7;1;2;13,5;2,7;1;1;5;;;;;
"Kreken";"Nissewaard                              ";"Buurt     ";"BU19301206";"1";1,2;0,2;6,9;14,8;2,9;1,4;2,9;1;2;13,1;2,9;1;1;5;;;;;
"Vriesland";"Nissewaard                              ";"Wijk      ";"WK193013  ";"1";0,7;1,2;6,6;13,9;3,2;0,7;3,2;1;2;12,1;3,2;1;1;5;;;;;
"Vriesland";"Nissewaard                              ";"Buurt     ";"BU19301301";"1";0,7;1,2;6,6;13,9;3,2;0,7;3,2;1;2;12,1;3,2;1;1;5;;;;;
"Waterland";"Nissewaard                              ";"Wijk      ";"WK193014  ";"1";0,9;0,7;9,2;15;2,3;0,9;2,3;1;2;15;2,3;1;1;6;;;;;
"Ottersveen";"Nissewaard                              ";"Buurt     ";"BU19301401";"1";0,8;1,9;10,8;15;2,1;0,8;2,1;1;2;15;2,1;1;1;6;;;;;
"Kikkerveen";"Nissewaard                              ";"Buurt     ";"BU19301402";"1";0,6;2;10;15;2;0,6;2;1;2;15;2;1;1;6;;;;;
"Beverveen";"Nissewaard                              ";"Buurt     ";"BU19301403";"1";0,4;1,5;9,4;15;2,2;0,4;2,2;1;2;15;2,2;1;1;6;;;;;
"Egel- en Salamanderveen";"Nissewaard                              ";"Buurt     ";"BU19301404";"1";0,3;1;10;15;2,1;0,3;2,1;1;2;15;2,1;1;1;6;;;;;
"Krekelveen";"Nissewaard                              ";"Buurt     ";"BU19301405";"1";0,6;1;9,1;15;2,4;0,6;2,4;1;2;14,9;2,4;1;1;5,9;;;;;
"Slakkenveen";"Nissewaard                              ";"Buurt     ";"BU19301406";"1";0,7;0,8;8,4;15;2,5;0,7;2,5;1;2;15;2,5;1;1;6;;;;;
"Middengebied";"Nissewaard                              ";"Buurt     ";"BU19301407";"1";0,9;0,6;10;15;2,2;0,9;2,2;1;2;15,1;2,2;1;1;6;;;;;
"Karperveen";"Nissewaard                              ";"Buurt     ";"BU19301408";"1";1,2;0,2;7,2;15;2,5;1,2;2,5;1;2;15;2,5;1;1;6;;;;;
"Snoekenveen";"Nissewaard                              ";"Buurt     ";"BU19301409";"1";1,3;0;9,3;15;2,2;1,3;2,2;1;2;15;2,2;1;1;6;;;;;
"Baarsveen";"Nissewaard                              ";"Buurt     ";"BU19301410";"1";1,4;0;9;15;2,2;1,4;2,2;1;2;15;2,2;1;1;6;;;;;
"Park Waterland";"Nissewaard                              ";"Buurt     ";"BU19301411";"1";1,1;0,4;3,8;13,2;3,6;2;3,6;1;2;10,3;3,6;1;1;3,6;;;;;
"Maaswijk";"Nissewaard                              ";"Wijk      ";"WK193015  ";"1";0,8;1,4;4,4;12,1;3,2;0,8;3,2;1;1,9;12,8;3,2;1;1;5,2;;;;;
"Maaswijk-Noordoost";"Nissewaard                              ";"Buurt     ";"BU19301501";"1";0,7;1,6;4,6;13,3;3,1;0,7;3,1;1;2;13,4;3,1;1;1;5,3;;;;;
"Maaswijk-Noordwest";"Nissewaard                              ";"Buurt     ";"BU19301502";"1";0,6;2;6,4;14;2,6;0,6;2,6;1;1,9;15;2,6;1;1;6;;;;;
"Maaswijk-Zuidwest";"Nissewaard                              ";"Buurt     ";"BU19301503";"1";0,7;1,9;5,6;13,8;2,8;0,7;2,8;1;1,6;14,4;2,8;1;1;5,7;;;;;
"Maaswijk-Zuidoost";"Nissewaard                              ";"Buurt     ";"BU19301504";"1";0,9;1;2,7;9,7;3,8;0,9;3,8;1;2;10,7;3,8;1;1;4,6;;;;;
"Maaswijktuinen";"Nissewaard                              ";"Buurt     ";"BU19301505";"1";0,9;0,9;7,8;14,9;1,8;1,5;1,8;1;1,9;16,9;1,8;1;1;6;;;;;
"Park Welgelegen";"Nissewaard                              ";"Buurt     ";"BU19301506";"1";;;;;;;;;;;;;;;;;;;
"Halfweg";"Nissewaard                              ";"Wijk      ";"WK193016  ";"1";;;;;;;;;;;;;;;;;;;
"Industrieterrein Halfweg";"Nissewaard                              ";"Buurt     ";"BU19301601";"1";;;;;;;;;;;;;;;;;;;
"Buitengebied";"Nissewaard                              ";"Wijk      ";"WK193017  ";"1";2,3;0,1;3,5;10,6;3,9;2,4;3,9;0,9;1,8;14,2;3,9;0,9;1;5,6;;;;;
"Oostbroek";"Nissewaard                              ";"Buurt     ";"BU19301701";"1";;;;;;;;;;;;;;;;;;;
"Landtong";"Nissewaard                              ";"Buurt     ";"BU19301702";"1";2,6;0;3,5;8,9;3,1;2,6;3,1;1;2;17;3,1;1;1;6;;;;;
"Hartelpark-Oost";"Nissewaard                              ";"Buurt     ";"BU19301703";"1";;;;;;;;;;;;;;;;;;;
"Hartelpark-West";"Nissewaard                              ";"Buurt     ";"BU19301704";"1";2,5;0;2;11;4,3;2,5;4,3;1;2;15;4,3;1;1;6;;;;;
"Markenburg";"Nissewaard                              ";"Buurt     ";"BU19301705";"1";;;;;;;;;;;;;;;;;;;
"Westrand";"Nissewaard                              ";"Buurt     ";"BU19301706";"1";2,1;0;5,5;11,6;3,2;2,4;3,2;1;1,6;15,1;3,2;1;1;5,7;;;;;
"Waterrijk";"Nissewaard                              ";"Buurt     ";"BU19301707";"1";2,6;0;1,9;5,6;5,3;2,6;5,3;0;2;6,3;5,3;0;1;3,1;;;;;
"Berenplaat";"Nissewaard                              ";"Buurt     ";"BU19301708";"1";;;;;;;;;;;;;;;;;;;
"Heenvliet";"Nissewaard                              ";"Wijk      ";"WK193025  ";"1";0,9;1,4;1,9;2,1;8,3;1;7,4;0;4;7,9;8,3;0;1;1,9;;;;;
"Kern Heenvliet";"Nissewaard                              ";"Buurt     ";"BU19302501";"1";0,8;1,6;2;2;7,9;0,9;7,7;0;4;8;7,9;0;1;2;;;;;
"Bloemendaele";"Nissewaard                              ";"Buurt     ";"BU19302502";"1";0,5;2;2;2;8,1;0,6;7,3;0;4;8;8,1;0;1;2;;;;;
"Ravensteijn-West";"Nissewaard                              ";"Buurt     ";"BU19302503";"1";0,9;1;2;2;8,3;1;7,5;0;4;8;8,3;0;1;2;;;;;
"Poldergebied Heenvliet";"Nissewaard                              ";"Buurt     ";"BU19302504";"1";2,6;0;1,1;3,2;10,2;2,7;6,2;0,2;3,5;7,2;10,2;0;0,4;1,2;;;;;
"Geervliet";"Nissewaard                              ";"Wijk      ";"WK193027  ";"1";2;0;2;3,8;6,6;2,1;6,6;0;2,3;9,9;6,6;0;1;3;;;;;
"Kern Geervliet";"Nissewaard                              ";"Buurt     ";"BU19302701";"1";1,6;0;2;4;6,5;1,7;6,5;0;3;10;6,5;0;1;3;;;;;
"Geervliet-Noordoost";"Nissewaard                              ";"Buurt     ";"BU19302702";"1";2,1;0;2;3,8;6,5;2,2;6,5;0;2;10;6,5;0;1;3;;;;;
"Poldergebied Geervliet";"Nissewaard                              ";"Buurt     ";"BU19302703";"1";1,8;0,2;1,8;3,2;7,1;1,8;7,1;0;3;9,1;7,1;0;1;2,6;;;;;
"Abbenbroek";"Nissewaard                              ";"Wijk      ";"WK193029  ";"1";2,1;0;1,8;3;9,7;2,2;8,8;0;3,7;7;9,7;0;0,9;1;;;;;
"Kern Abbenbroek";"Nissewaard                              ";"Buurt     ";"BU19302901";"1";1,9;0;2;3;9,4;2;9;0;4;7;9,4;0;1;1;;;;;
"Poldergebied Abbenbroek";"Nissewaard                              ";"Buurt     ";"BU19302902";"1";2,7;0;1,2;3;10,3;2,7;8,4;0;2,8;7,1;10,3;0;0,5;1,1;;;;;
"Zuidland";"Nissewaard                              ";"Wijk      ";"WK193031  ";"1";1;0,7;1;1,7;8,6;1;8,6;0;1,4;6,7;8,6;0;1;1;;;;;
"Kern Zuidland";"Nissewaard                              ";"Buurt     ";"BU19303101";"1";0,6;0,8;1;1,6;8,2;0,6;8,2;0;1,3;6,9;8,2;0;1;1;;;;;
"Kerckhoek";"Nissewaard                              ";"Buurt     ";"BU19303102";"1";0,7;1;1;1;8,4;0,7;8,4;0;1;6;8,4;0;1;1;;;;;
"Kreken van Nibbeland";"Nissewaard                              ";"Buurt     ";"BU19303103";"1";1,8;0;1;2,9;9,5;1,8;9,5;0;2,1;7;9,5;0;1;1;;;;;
"Harregat";"Nissewaard                              ";"Buurt     ";"BU19303104";"1";0,8;0,8;1;1;8,7;0,8;8,7;0;2;6,8;8,7;0;1;1;;;;;
"Poldergebied Zuidland";"Nissewaard                              ";"Buurt     ";"BU19303105";"1";2,5;0;0,8;1,2;9,9;2,5;8,6;0;1,8;6,2;9,9;0;0,6;1;;;;;
"Simonshaven";"Nissewaard                              ";"Wijk      ";"WK193033  ";"1";2,5;0;0,9;3,3;6,6;2,5;6,6;0;1,6;7,5;6,6;0;1;2,2;;;;;
"Kern Simonshaven";"Nissewaard                              ";"Buurt     ";"BU19303301";"1";2,8;0;1;3,6;6,4;2,8;6,4;0;2;7,2;6,4;0;1;2,2;;;;;
"Poldergebied Simonshaven";"Nissewaard                              ";"Buurt     ";"BU19303302";"1";2,1;0;0,9;2,9;6,7;2,1;6,7;0,1;1,2;7,8;6,7;0,1;1;2,1;;;;;
"Hekelingen";"Nissewaard                              ";"Wijk      ";"WK193050  ";"1";0,6;0,9;4,9;14,6;3,3;1,6;3,3;1;2;11,9;3,3;1;1;4,8;;;;;
"Hekelingen-Dorp";"Nissewaard                              ";"Buurt     ";"BU19305001";"1";0,5;1;5;14,9;3,2;1,6;3,2;1;2;12,1;3,2;1;1;4,9;;;;;
"Uitslag van Putten-Zuid";"Nissewaard                              ";"Buurt     ";"BU19305002";"1";1,3;0,2;2,4;9,4;4,2;1,3;4,2;1;2;9;4,2;1;1;3,6;;;;;
"Oud-Schuddebeurs";"Nissewaard                              ";"Buurt     ";"BU19305003";"1";1,7;0;2,6;9,8;4,3;2,3;4,3;0,9;2;9;4,3;0,9;1;3;;;;;
"Noardeast-Fryslân";"Noardeast-Fryslân                       ";"Gemeente  ";"GM1970    ";"1";1,9;0,5;1,1;1,9;9;2,1;25,3;0;0;0,1;25,3;0;0;0,1;;;;;
"Dokkum";"Noardeast-Fryslân                       ";"Wijk      ";"WK197000  ";"1";1,7;0,2;1;2,1;1,7;1,6;25,8;0;0;0;25,8;0;0;0;;;;;
"Dokkum binnen de Bolwerken";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700000";"1";1,4;0;1;2,1;1,4;1,3;25,7;0;0;0;25,7;0;0;0;;;;;
"Dokkum Noord";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700001";"1";1,6;0,1;1;1,7;1,6;1,5;26;0;0;0;26;0;0;0;;;;;
"Dokkum Fonteinslanden";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700002";"1";1,3;0,1;1;2,9;1,3;1,2;25,2;0;0;0;25,2;0;0;0;;;;;
"Dokkum Fugellan";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700003";"1";2,8;0;0,8;1;2,8;2,7;27;0;0;0;27;0;0;0;;;;;
"Dokkum Betterwird";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700004";"1";1,5;0;1;2;1,5;1,4;25,7;0;0;0;25,7;0;0;0;;;;;
"Dokkum Hoedemakerspolder";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700005";"1";0,5;1;1;3;0,5;0,4;25;0;0;0;25;0;0;0;;;;;
"Dokkum De Woudhorne";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700006";"1";0,8;0,9;1;3;0,8;0,7;24,5;0;0;0;24,5;0;0;0;;;;;
"De Trije Terpen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700007";"1";1,4;0;1;3;1,4;1,3;24,6;0;0;0;24,6;0;0;0;;;;;
"Dokkum Weeshuislanden";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700008";"1";2,2;0;1;1,1;2,2;2,1;26,5;0;0;0;26,5;0;0;0;;;;;
"Dokkum Jantjeszeepolder";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700009";"1";1,8;0;1;3;1,8;1,7;25,2;0;0;0;25,2;0;0;0;;;;;
"Dokkum Kooilanden";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700010";"1";2,2;0;1;2;2,2;2,1;25,8;0;0;0;25,8;0;0;0;;;;;
"Dokkum Hogedijken";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700011";"1";1,7;0;1;2,1;1,7;1,6;25,7;0;0;0;25,7;0;0;0;;;;;
"Metslawier";"Noardeast-Fryslân                       ";"Wijk      ";"WK197001  ";"1";1,6;0,5;0,8;1;7,1;1,6;31,3;0;0;0;31,3;0;0;0;;;;;
"Metslawier";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700100";"1";0,4;1;1;1;7,9;0,4;32,3;0;0;0;32,3;0;0;0;;;;;
"Jouswier";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700101";"1";2;0;1;1;9;2;32,6;0;0;0;32,6;0;0;0;;;;;
"Niawier";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700102";"1";1,8;0;1;1;7,1;1,8;31,5;0;0;0;31,5;0;0;0;;;;;
"Wetsens";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700103";"1";3,3;0;0,2;1,1;5,6;3,3;30;0;0;0;30;0;0;0;;;;;
"Aalsum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700104";"1";3,3;0;0,3;1,2;3,3;3,2;27,6;0;0;0;27,6;0;0;0;;;;;
"Oostrum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700105";"1";4,7;0;0;1;6;4,7;29,6;0;0;0;29,6;0;0;0;;;;;
"Verspreide huizen Metslawier";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700107";"1";1,1;0,5;1;1,5;8,1;1,1;32,2;0;0;0;32,2;0;0;0;;;;;
"Verspreide huizen Niawier";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700108";"1";2,6;0;0,6;1;6,5;2,6;30,9;0;0;0;30,9;0;0;0;;;;;
"Verspreide huizen Oostrum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700109";"1";4,7;0;0;0,6;4,9;4,7;28,5;0;0;0;28,5;0;0;0;;;;;
"Ee - Zuidoost";"Noardeast-Fryslân                       ";"Wijk      ";"WK197002  ";"1";5,2;0;0;0,6;10,6;5,2;30,6;0;0;0;30,6;0;0;0;;;;;
"Ee";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700200";"1";4,2;0;0;1;9,3;4,2;29,9;0;0;0;29,9;0;0;0;;;;;
"Engwierum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700201";"1";7;0;0;0;12,2;7;31,3;0;0;0;31,3;0;0;0;;;;;
"Dokkumer Nieuwe Zijlen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700202";"1";5,7;0;0;0;13,9;5,9;29,4;0;0;0;29,4;0;0;0;;;;;
"Verspreide huizen Ee";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700208";"1";4;0;0,2;1;9,3;4;31;0;0;0;31;0;0;0;;;;;
"Verspreide huizen Engwierum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700209";"1";6,4;0;0;0,1;12,4;6,5;31,4;0;0;0;31,4;0;0;0;;;;;
"Anjum - Noordoost";"Noardeast-Fryslân                       ";"Wijk      ";"WK197003  ";"1";1,5;0,5;0,8;1,7;12,1;1,5;35,5;0;0;0;35,5;0;0;0;;;;;
"Anjum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700300";"1";0,3;1;1;1,7;12,5;0,3;35,7;0;0;0;35,7;0;0;0;;;;;
"Lioessens";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700301";"1";3,3;0;0,1;2;10,9;3,3;34,9;0;0;0;34,9;0;0;0;;;;;
"Morra";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700302";"1";2,6;0;1,2;2;10,1;2,6;34;0;0;0;34;0;0;0;;;;;
"Oostmahorn";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700303";"1";2,6;0;0,9;1;14,8;2,6;37,9;0;0;0;37,9;0;0;0;;;;;
"Verspreide huizen Anjum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700307";"1";1,6;0,2;1;1;13,5;1,6;36;0;0;0;36;0;0;0;;;;;
"Verspreide huizen Lioessens";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700308";"1";3,2;0;0,4;1,7;12;3,2;35,9;0;0;0;35,9;0;0;0;;;;;
"Verspreide huizen Morra";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700309";"1";2,5;0;1,1;2;10;2,5;33,9;0;0;0;33,9;0;0;0;;;;;
"Oosternijkerk - Noordwest";"Noardeast-Fryslân                       ";"Wijk      ";"WK197004  ";"1";3,3;0;0,4;1;9,7;3,3;34,1;0;0;0;34,1;0;0;0;;;;;
"Oosternijkerk";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700400";"1";2,9;0;0,6;1;9;2,9;33,3;0;0;0;33,3;0;0;0;;;;;
"Paesens";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700401";"1";4,7;0;0;1;12,8;4,7;37,2;0;0;0;37,2;0;0;0;;;;;
"Verspreide huizen Oosternijkerk";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700408";"1";3,7;0;0,1;1,1;9,3;3,7;33,7;0;0;0;33,7;0;0;0;;;;;
"Verspreide huizen Paesens";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700409";"1";3,8;0;0;1;12,3;3,8;36,7;0;0;0;36,7;0;0;0;;;;;
"Ternaard";"Noardeast-Fryslân                       ";"Wijk      ";"WK197005  ";"1";2,5;0,5;0,6;0,8;9,6;2,5;33,3;0;0;0;33,3;0;0;0;;;;;
"Ternaard";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700500";"1";0,5;1;1;1;8;0,5;31,4;0;0;0;31,4;0;0;0;;;;;
"Wierum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700501";"1";4,9;0;0;0,5;11,4;4,9;35,7;0;0;0;35,7;0;0;0;;;;;
"Nes";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700502";"1";5,1;0;0;0,2;11,2;5,1;35,6;0;0;0;35,6;0;0;0;;;;;
"Moddergat";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700503";"1";5;0;0;0,5;13,1;5;37,4;0;0;0;37,4;0;0;0;;;;;
"Verspreide huizen Ternaard";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700506";"1";1,7;0,1;1;1,6;8,9;1,7;31,4;0;0;0;31,4;0;0;0;;;;;
"Verspreide huizen Wierum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700507";"1";3,9;0;0;0,8;10,7;3,9;34,4;0;0;0;34,4;0;0;0;;;;;
"Verspreide huizen Nes";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700508";"1";5,1;0;0;0,6;11,1;5,1;35,4;0;0;0;35,4;0;0;0;;;;;
"Verspreide huizen Moddergat";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700509";"1";5,7;0;0;0;12,2;5,7;36,6;0;0;0;36,6;0;0;0;;;;;
"Holwerd";"Noardeast-Fryslân                       ";"Wijk      ";"WK197006  ";"1";1,4;0,6;0,8;1;7,6;1,4;26,5;0;0;0;26,5;0;0;0;;;;;
"Holwerd";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700600";"1";0,4;1;1;1;8,6;0,4;27;0;0;0;27;0;0;0;;;;;
"Waaxens";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700601";"1";1,8;0;1;1;7;1,8;27,3;0;0;0;27,3;0;0;0;;;;;
"Brantgum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700602";"1";2,7;0;1;1;6;2,7;27,2;0;0;0;27,2;0;0;0;;;;;
"Foudgum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700603";"1";3,9;0;0;1,8;4,9;3,9;26,3;0;0;0;26,3;0;0;0;;;;;
"Bornwird";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700604";"1";3,1;0;0,3;1,1;3,1;3;24,8;0;0;0;24,8;0;0;0;;;;;
"Raard";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700605";"1";4,4;0;0;1;4,4;4,3;23,2;0;0;0;23,2;0;0;0;;;;;
"Verspreide huizen Holwerd";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700608";"1";1,9;0,2;0,9;1,2;9;1,9;27,1;0;0;0;27,1;0;0;0;;;;;
"Verspreide huizen Brantgum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700609";"1";3,5;0;0,2;1,6;6,7;3,5;27,9;0;0;0;27,9;0;0;0;;;;;
"Hantum";"Noardeast-Fryslân                       ";"Wijk      ";"WK197007  ";"1";3,5;0;0,5;1,1;6,3;3,5;29,9;0;0;0;29,9;0;0;0;;;;;
"Hantum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700700";"1";2,9;0;1;1;6;2,9;29,2;0;0;0;29,2;0;0;0;;;;;
"Hantumhuizen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700701";"1";4,4;0;0;1;7,6;4,4;31,9;0;0;0;31,9;0;0;0;;;;;
"Hantumeruitburen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700702";"1";4,6;0;0;1;6,4;4,6;30,8;0;0;0;30,8;0;0;0;;;;;
"Hiaure";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700703";"1";4;0;0;1,8;4,2;4;27,9;0;0;0;27,9;0;0;0;;;;;
"Verspreide huizen Hantum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700708";"1";2,9;0;0,7;1,2;5,9;2,9;29,5;0;0;0;29,5;0;0;0;;;;;
"Verspreide huizen Hantumhuizen";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700709";"1";3,7;0;0;1;6,9;3,7;31,2;0;0;0;31,2;0;0;0;;;;;
"Wijk 08 Bouwstreek";"Noardeast-Fryslân                       ";"Wijk      ";"WK197008  ";"1";2;0,4;1;1,6;13,6;2;20,4;0;0;0,4;20,4;0;0;0,4;;;;;
"Ferwerd";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700800";"1";0,7;0,9;1;1,2;13;0,7;20,6;0;0;0,1;20,6;0;0;0,1;;;;;
"Marrum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700801";"1";2,2;0;1,9;2;15,6;2,2;18;0;0;1;18;0;0;1;;;;;
"Blija";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700802";"1";3,7;0;0;2;11,7;3,7;23,5;0;0;0;23,5;0;0;0;;;;;
"Hogebeintum";"Noardeast-Fryslân                       ";"Buurt     ";"BU19700803";"1";3;0;0,6;1,2;11,4;3;22,4;0;0;0;22,4;0;0;0;;;;;
