"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";;;;;;;;;;;;;;;;;;;
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";3,3;0;0,7;2,9;2,3;2,1;2,3;1;1;2;2,3;1;1;1;;;;;
"Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";3,2;0;0,8;3;2,1;2;2,1;1;1;2;2,1;1;1;1;;;;;
"Gasselterboerveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";4,5;0;0;1,3;4,1;3,8;4,1;0,9;1;2;4,1;0,9;1;1;;;;;
"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";;;;;;;;;;;;;;;;;;;
"Wijk 17 Gieten";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";0,9;0,9;1,9;2;13,7;0,9;13,7;0;0;4;13,7;0;0;2;;;;;
"Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";0,8;1;2;2;13,7;0,8;13,7;0;0;4;13,7;0;0;2;;;;;
"Verspreide huizen Gieten";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";3;0;1;2;12,8;3;12,5;0;0;3,7;12,8;0;0;2;;;;;
"Wijk 18 Gieterveen";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";5,1;0;0;0,4;8,3;5,3;8,2;0;1,2;2;8,3;0;1;1;;;;;
"Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";5,2;0;0;0,2;8,6;5,2;8,6;0;1;2;8,6;0;1;1;;;;;
"Bonnerveen";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";3,1;0;0,4;1;8,5;3,1;8,5;0;1;2;8,5;0;1;1;;;;;
"Nieuwediep";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";5,2;0;0;0,4;7,5;6,6;7,2;0,1;1,8;2;7,5;0,1;1;1;;;;;
"Verspreide huizen Gieterveen";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";5,2;0;0,1;0,4;8,1;5,3;8;0;1,2;2;8,1;0;0,9;1;;;;;
"Wijk 19 Rolde";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";1,2;0,5;1;1,2;7,7;1,4;7,7;0;1,9;2;7,7;0;1;1;;;;;
"Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";0,8;0,7;1;1,2;7,4;1;7,4;0;2;2;7,4;0;1;1;;;;;
"Ballo";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";2,2;0;1;2,6;5,8;1,5;5,8;0;2;2;5,8;0;1;1;;;;;
"Nijlande";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";2,3;0;1;1,6;6,7;2,4;6,7;0;2;2;6,7;0;1;1;;;;;
"Deurze";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";3,1;0;0,5;4,1;4,8;3,2;4,8;0,6;2;2;4,8;0,6;1;1;;;;;
"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";2,2;0;1;1;9,3;2,7;9,3;0;1,3;2;9,3;0;1;1;;;;;
"Verspreide huizen Rolde";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";2,8;0;0,8;1,4;8,3;3;8,2;0,1;1,5;2;8,3;0,1;0,9;1;;;;;
